,Date,Time (Range),Weather & Air Temp (F),H2O Temp. (°C/°F),High Tide,DO (ppm),pH,Salinity (ppt),Turbidity (NTU),# of student seiners (CLASSES ONLY),# of visitors (Public Seine ONLY),Instructors/ Seine Staff:,# Hauls,Common Name (or Taxon) - POOLED DATA ,Quantity,Kept/Released,Comments,Kept
0,2019-05-30,9:30am-1:00pm,,66,7:08am,9.57,7.9,17.47,48.1,,,,22,"bass, striped (n)",5,Kept,,5
1,2019-05-30,9:30am-1:00pm,,66,7:08am,9.57,7.9,17.47,48.1,,,,22,"silverside, Atlantic (n)",4,Released,,0
2,2019-05-30,9:30am-1:00pm,,66,7:08am,9.57,7.9,17.47,48.1,,,,22,"anchovy, bay (n)",50,Released,,0
3,2019-05-30,9:30am-1:00pm,,66,7:08am,9.57,7.9,17.47,48.1,,,,22,"tomcod, Atlantic (n)",5,Kept,,5
4,2019-05-30,9:30am-1:00pm,,66,7:08am,9.57,7.9,17.47,48.1,,,,22,alewife (n),1,Released,,0
5,2019-05-30,9:30am-1:00pm,,66,7:08am,9.57,7.9,17.47,48.1,,,,22,tautog (blackfish) (n),1,Released,,0
6,2019-05-30,9:30am-1:00pm,,66,7:08am,9.57,7.9,17.47,48.1,,,,22,skilletfish (n),1,Released,,0
7,2019-05-30,9:30am-1:00pm,,66,7:08am,9.57,7.9,17.47,48.1,,,,22,Sand Shrimp,15,Released,,0
8,2019-05-30,9:30am-1:00pm,,66,7:08am,9.57,7.9,17.47,48.1,,,,22,Grass Shrimp (Shore Shrimp),10,Released,,0
9,2019-05-30,9:30am-1:00pm,,66,7:08am,9.57,7.9,17.47,48.1,,,,22,"Periwinkle, Common ",3,Released,,0
10,2019-05-30,9:30am-1:00pm,,66,7:08am,9.57,7.9,17.47,48.1,,,,22,Soft-shell Clam (Steamer Clam),3,Released,,0
11,2019-05-30,9:30am-1:00pm,,66,7:08am,9.57,7.9,17.47,48.1,,,,22,"Mussel, Ribbed ",3,Released,,0
12,2019-05-30,9:30am-1:00pm,,66,7:08am,9.57,7.9,17.47,48.1,,,,22,"Mudsnail, Eastern ",117,Released,,0
13,2019-06-01,11:30am-1:00pm,,64,7:57am,7-8,9.8,20.0,,,,,27,bluefish (n),1,Released,,0
14,2019-06-01,11:30am-1:00pm,,64,7:57am,7-8,9.8,20.0,,,,,27,tautog (blackfish) (n),1,Released,,0
