,Date,Time (Range),Weather & Air Temp (F),H2O Temp. (°C/°F),High Tide,DO (ppm),pH,Salinity (ppt),Turbidity (NTU),# of student seiners (CLASSES ONLY),# of visitors (Public Seine ONLY),Instructors/ Seine Staff:,# Hauls,Common Name (or Taxon) - POOLED DATA ,Quantity,Kept
0,2019-05-30,9:30am-1:00pm,,66,7:08am,9.57,7.9,17.47,48.1,,,,22,Grass Shrimp (Shore Shrimp),10,0
1,2019-05-30,9:30am-1:00pm,,66,7:08am,9.57,7.9,17.47,48.1,,,,22,"Mudsnail, Eastern ",117,0
2,2019-05-30,9:30am-1:00pm,,66,7:08am,9.57,7.9,17.47,48.1,,,,22,"Mussel, Ribbed ",3,0
3,2019-05-30,9:30am-1:00pm,,66,7:08am,9.57,7.9,17.47,48.1,,,,22,"Periwinkle, Common ",3,0
4,2019-05-30,9:30am-1:00pm,,66,7:08am,9.57,7.9,17.47,48.1,,,,22,Sand Shrimp,15,0
5,2019-05-30,9:30am-1:00pm,,66,7:08am,9.57,7.9,17.47,48.1,,,,22,Soft-shell Clam (Steamer Clam),3,0
6,2019-05-30,9:30am-1:00pm,,66,7:08am,9.57,7.9,17.47,48.1,,,,22,alewife (n),1,0
7,2019-05-30,9:30am-1:00pm,,66,7:08am,9.57,7.9,17.47,48.1,,,,22,"anchovy, bay (n)",50,0
8,2019-05-30,9:30am-1:00pm,,66,7:08am,9.57,7.9,17.47,48.1,,,,22,"bass, striped (n)",5,5
9,2019-05-30,9:30am-1:00pm,,66,7:08am,9.57,7.9,17.47,48.1,,,,22,"silverside, Atlantic (n)",4,0
10,2019-05-30,9:30am-1:00pm,,66,7:08am,9.57,7.9,17.47,48.1,,,,22,skilletfish (n),1,0
11,2019-05-30,9:30am-1:00pm,,66,7:08am,9.57,7.9,17.47,48.1,,,,22,tautog (blackfish) (n),1,0
12,2019-05-30,9:30am-1:00pm,,66,7:08am,9.57,7.9,17.47,48.1,,,,22,"tomcod, Atlantic (n)",5,5
13,2019-06-12,4:15pm-5:20pm,,66,5:53pm,8,7.7,16.7,21.0,,,,6,Grass Shrimp (Shore Shrimp),1,0
14,2019-06-12,4:15pm-5:20pm,,66,5:53pm,8,7.7,16.7,21.0,,,,6,"menhaden, Atlantic (n)",3,0
15,2019-06-12,4:15pm-5:20pm,,66,5:53pm,8,7.7,16.7,21.0,,,,6,"silverside, Atlantic (n)",5,0
16,2019-06-22,6:00pm-7:30pm,,70,1:31pm,6-7,7.95,13.81,9.506058516050945,,,,18,Clam Worm (Sandworm),1,0
17,2019-06-22,6:00pm-7:30pm,,70,1:31pm,6-7,7.95,13.81,9.506058516050945,,,,18,Grass Shrimp (Shore Shrimp),2,0
18,2019-06-22,6:00pm-7:30pm,,70,1:31pm,6-7,7.95,13.81,9.506058516050945,,,,18,"Hermit Crab, Long-wristed ",1,0
19,2019-06-22,6:00pm-7:30pm,,70,1:31pm,6-7,7.95,13.81,9.506058516050945,,,,18,"Mudsnail, Eastern ",10,0
20,2019-06-22,6:00pm-7:30pm,,70,1:31pm,6-7,7.95,13.81,9.506058516050945,,,,18,"Mussel, Ribbed ",5,0
21,2019-06-22,6:00pm-7:30pm,,70,1:31pm,6-7,7.95,13.81,9.506058516050945,,,,18,"Periwinkle, Common ",1,0
22,2019-06-22,6:00pm-7:30pm,,70,1:31pm,6-7,7.95,13.81,9.506058516050945,,,,18,Sand Shrimp,5,0
23,2019-06-22,6:00pm-7:30pm,,70,1:31pm,6-7,7.95,13.81,9.506058516050945,,,,18,Soft-shell Clam (Steamer Clam),2,0
24,2019-06-22,6:00pm-7:30pm,,70,1:31pm,6-7,7.95,13.81,9.506058516050945,,,,18,bluefish (n),2,0
25,2019-06-22,6:00pm-7:30pm,,70,1:31pm,6-7,7.95,13.81,9.506058516050945,,,,18,"herring, blueback (n)",1,0
26,2019-06-22,6:00pm-7:30pm,,70,1:31pm,6-7,7.95,13.81,9.506058516050945,,,,18,"silverside, Atlantic (n)",22,0
27,2019-06-22,6:00pm-7:30pm,,70,1:31pm,6-7,7.95,13.81,9.506058516050945,,,,18,tautog (blackfish) (n),1,0
28,2019-06-22,6:00pm-7:30pm,,70,1:31pm,6-7,7.95,13.81,9.506058516050945,,,,18,"tomcod, Atlantic (n)",22,0
29,2019-06-26,2:12pm-n/a,,73,4:52pm,8.3,8.05,12.5,10.654571840730286,,,,"7, 4",Clam Worm (Sandworm),1,0
30,2019-06-26,2:12pm-n/a,,73,4:52pm,8.3,8.05,12.5,10.654571840730286,,,,"7, 4","Hermit Crab, Long-wristed ",1,0
31,2019-06-26,2:12pm-n/a,,73,4:52pm,8.3,8.05,12.5,10.654571840730286,,,,"7, 4","Horseshoe Crab, Atlantic",2,0
32,2019-06-26,2:12pm-n/a,,73,4:52pm,8.3,8.05,12.5,10.654571840730286,,,,"7, 4",Moon Jelly,3,0
