"U-50PC DataFile","Version","1.00","77"
"No.","SITE","Date","Time","Latitude","Longitude","Plobe error","Temperature","10","Error","pH","1","Error","pHmV","24","Error","ORP","2","Error","Conductivity","6","Error","Turbidity","3","Error","Dissolved Oxygen","4","Error","TDS","8","Error","Salinity","7","Error","Specific gravity","9","Error","Depth","11","Error","---","0","Error","---","0","Error","Battery valtage","Device code","Date code","Time code","Unit code","Format code","Status code","Sensor error code"
"1","BBP-other           ","2019/01/03","04:21:25","-- -- -- -","--- -- -- -","","83.0","°F","","7.00","pH","","-8","mV","","314","mV","","0.114","mS/cm","","2.5","NTU","","7.33","mg/L","","0.074","g/L","","0.05","ppt","","0.0","Sigma t","","-","-","-","-","-","-","-","-","-","    V","P30","D190103","T042125","U1000000000000","F1200312321000","S1111111111000","A0000000000000"
"2","BBP-other           ","2019/01/17","06:21:34","-- -- -- -","--- -- -- -","","55.5","°F","","9.78","pH","","-166","mV","","45","mV","","21.9","mS/cm","","46.6","NTU","","17.25","mg/L","","13.0","g/L","","14.02","ppt","","10.3","Sigma t","","-","-","-","-","-","-","-","-","-","    V","P30","D190117","T062134","U1000000000000","F1200112121000","S1111111111000","A0000000000000"
"3","BBP-other           ","2019/01/17","06:24:42","-- -- -- -","--- -- -- -","","46.3","°F","","9.76","pH","","-162","mV","","56","mV","","32.1","mS/cm","","27.0","NTU","","14.62","mg/L","","19.6","g/L","","19.35","ppt","","15.1","Sigma t","","-","-","-","-","-","-","-","-","-","    V","P30","D190117","T062442","U1000000000000","F1200112121000","S1111111111000","A0000000000000"
"4","MAIN ST BEACH       ","2019/01/17","06:25:58","-- -- -- -","--- -- -- -","","48.0","°F","","9.70","pH","","-159","mV","","60","mV","","31.1","mS/cm","","26.9","NTU","","11.24","mg/L","","19.0","g/L","","18.81","ppt","","14.6","Sigma t","","-","-","-","-","-","-","-","-","-","    V","P30","D190117","T062558","U1000000000000","F1200112121000","S1111111111000","A0000000000000"
"5","BBP-other           ","2019/01/17","06:28:56","-- -- -- -","--- -- -- -","","43.9","°F","","6.14","pH","","40","mV","","256","mV","","33.7","mS/cm","","25.4","NTU","","13.73","mg/L","","20.5","g/L","","20.26","ppt","","15.9","Sigma t","","-","-","-","-","-","-","-","-","-","    V","P30","D190117","T062856","U1000000000000","F1200112121000","S1111111111000","A0000000000000"
"6","BBP-other           ","2019/01/17","06:30:47","-- -- -- -","--- -- -- -","","43.4","°F","","5.66","pH","","66","mV","","280","mV","","34.0","mS/cm","","25.0","NTU","","11.86","mg/L","","20.7","g/L","","20.45","ppt","","16.1","Sigma t","","-","-","-","-","-","-","-","-","-","    V","P30","D190117","T063047","U1000000000000","F1200112121000","S1111111111000","A0000000000000"
"7","MAIN ST BEACH       ","2019/01/17","06:42:47","-- -- -- -","--- -- -- -","","44.6","°F","","9.03","pH","","-121","mV","","110","mV","","33.5","mS/cm","","29.6","NTU","","8.68","mg/L","","20.4","g/L","","20.21","ppt","","15.9","Sigma t","","-","-","-","-","-","-","-","-","-","    V","P30","D190117","T064247","U1000000000000","F1200112121000","S1111111111000","A0000000000000"
"8","MAIN ST BEACH       ","2019/01/17","06:51:39","-- -- -- -","--- -- -- -","","48.0","°F","","7.84","pH","","-55","mV","","107","mV","","32.0","mS/cm","","21.5","NTU","","11.90","mg/L","","19.5","g/L","","19.36","ppt","","15.0","Sigma t","","-","-","-","-","-","-","-","-","-","    V","P30","D190117","T065139","U1000000000000","F1200112121000","S1111111111000","A0000000000000"
"9","PEBBLE BEACH        ","2019/02/07","03:40:46","-- -- -- -","--- -- -- -","","41.4","°F","","7.77","pH","","-51","mV","","110","mV","","32.7","mS/cm","","40.5","NTU","","16.99","mg/L","","20.0","g/L","","19.80","ppt","","15.7","Sigma t","","-","-","-","-","-","-","-","-","-","    V","P30","D190207","T034046","U1000000000000","F1200112121000","S1111111111000","A0000000000000"
"10","PEBBLE BEACH        ","2019/02/07","03:41:27","-- -- -- -","--- -- -- -","","39.9","°F","","7.91","pH","","-58","mV","","122","mV","","33.8","mS/cm","","41.7","NTU","","16.04","mg/L","","20.6","g/L","","20.10","ppt","","16.0","Sigma t","","-","-","-","-","-","-","-","-","-","    V","P30","D190207","T034127","U1000000000000","F1200112121000","S1111111111000","A0000000000000"
