,Date,Time,Weather & Air Temp:,Water Temp:,Corrected Water Temp:,Water Temp Probe,pH,Corrected pH,pH Probe,DO,Corrected DO,DO Probe,Turbidity,Turbidity Probe (NTU),Salinity,Corrected Salinity,Salinity Probe,Tide is moving,Tide Times,# Hauls,Corrected # Hauls,Common Name,Corrected Common Name,Grouped Corrected Common Name,Quantity,Corrected Quantity,Scientific Name,Instructors/ Seine Staff:,# student seiners (CLASSES ONLY),# of visitors (Public Seine ONLY),# Brought to Ed Center,"Other info (Gender, Length, Dead/Alive, other physical description)",NOTES FROM SEINEING SEASON:,NOTES FROM SEINE:
0,2008-05-14,,,,,,,,,,,,,,,,,,,,,striped bass,striped bass,striped bass,,1,,,,,,,,
1,2008-06-14,,,,,,,,,,,,,,,,,,,,,striped bass,striped bass,striped bass,,1,,,,,,,,
2,2008-06-14,,,,,,,,,,,,,,,,,,,,,atlantic tomcod,atlantic tomcod,atlantic tomcod,,1,,,,,,,,
3,2008-06-14,,,,,,,,,,,,,,,,,,,,,winter flounder,winter flounder,flatfish,,1,,,,,,,,
4,2008-06-14,,,,,,,,,,,,,,,,,,,,,bay anchovies,bay anchovy,bay anchovy,,1,,,,,,,,
5,2008-06-14,,,,,,,,,,,,,,,,,,,,,shrimp,unidentified shrimp,shrimp,,1,,,,,,,,
6,2008-06-14,,,,,,,,,,,,,,,,,,,,,comb jelly,comb jelly,comb jelly,,1,,,,,,,,
7,2008-06-14,,,,,,,,,,,,,,,,,,,,,lions mane jellyfish,lions mane jellyfish,jellyfish,,1,,,,,,,,
8,2008-06-14,,,,,,,,,,,,,,,,,,,,,amphipod,amphipod,amphipod,,1,,,,,,,,
9,2008-06-14,,,,,,,,,,,,,,,,,,,,,green crab,green crab,green crab,,1,,,,,,,,
10,2008-07-24,,,,,,,,,,,,,,,,,,,,,blue crab,blue crab,blue crab,,1,,,,,,,,
11,2008-07-24,,,,,,,,,,,,,,,,,,,,,lions mane jellyfish,lions mane jellyfish,jellyfish,,1,,,,,,,,
12,2008-07-24,,,,,,,,,,,,,,,,,,,,,moon jelly,moon jelly,jellyfish,,1,,,,,,,,
13,2008-07-24,,,,,,,,,,,,,,,,,,,,,comb jelly,comb jelly,comb jelly,,1,,,,,,,,
14,2008-07-24,,,,,,,,,,,,,,,,,,,,,shrimp,unidentified shrimp,shrimp,,1,,,,,,,,
15,2008-07-24,,,,,,,,,,,,,,,,,,,,,lady crab,lady crab,lady crab,,1,,,,,,,,
16,2008-07-24,,,,,,,,,,,,,,,,,,,,,bluefish,bluefish,bluefish,,1,,,,,,,,
17,2008-07-24,,,,,,,,,,,,,,,,,,,,,northern pipefish,northern pipefish,northern pipefish,,1,,,,,,,,
18,2008-07-24,,,,,,,,,,,,,,,,,,,,,winter flounder,winter flounder,flatfish,,1,,,,,,,,
19,2008-07-24,,,,,,,,,,,,,,,,,,,,,atlantic tomcod,atlantic tomcod,atlantic tomcod,,1,,,,,,,,
20,2008-07-24,,,,,,,,,,,,,,,,,,,,,atlantic silverside,atlantic silverside,atlantic silverside,,1,,,,,,,,
21,2008-09-13,,,,,,,,,,,,,,,,,,,,,lions mane jellyfish,lions mane jellyfish,jellyfish,,1,,,,,,,,
22,2008-09-13,,,,,,,,,,,,,,,,,,,,,comb jelly,comb jelly,comb jelly,,1,,,,,,,,
23,2008-09-13,,,,,,,,,,,,,,,,,,,,,winter flounder,winter flounder,flatfish,,1,,,,,,,,
24,2008-09-13,,,,,,,,,,,,,,,,,,,,,lady crab,lady crab,lady crab,,1,,,,,,,,
25,2008-09-13,,,,,,,,,,,,,,,,,,,,,blue crab,blue crab,blue crab,,1,,,,,,,,
26,2008-09-13,,,,,,,,,,,,,,,,,,,,,anchovy,bay anchovy,bay anchovy,,1,,,,,,,,
27,2008-09-13,,,,,,,,,,,,,,,,,,,,,atlantic silverside,atlantic silverside,atlantic silverside,,1,,,,,,,,
28,2008-09-13,,,,,,,,,,,,,,,,,,,,,striped searobin,striped searobin,sea robin,,1,,,,,,,,
29,2008-09-13,,,,,,,,,,,,,,,,,,,,,northern kingfish,northern kingfish,northern kingfish,,1,,,,,,,,
30,2008-09-13,,,,,,,,,,,,,,,,,,,,,striped bass,striped bass,striped bass,,1,,,,,,,,
31,2008-09-13,,,,,,,,,,,,,,,,,,,,,oyster toadfish,oyster toadfish,oyster toadfish,,1,,,,,,,,
32,2008-09-13,,,,,,,,,,,,,,,,,,,,,hermit crab,unidentified hermit crab,hermit crab,,1,,,,,,,,
33,2008-09-13,,,,,,,,,,,,,,,,,,,,,sand shrimp,sand shrimp,shrimp,,1,,,,,,,,
34,2008-09-13,,,,,,,,,,,,,,,,,,,,,mantis shrimp,mantis shrimp,shrimp,,1,,,,,,,,
35,2008-09-13,,,,,,,,,,,,,,,,,,,,,shore shrimp,shore shrimp,shrimp,,1,,,,,,,,
36,2008-09-13,,,,,,,,,,,,,,,,,,,,,sea squirt,sea squirt,tunicates,,1,,,,,,,,
37,2008-09-13,,,,,,,,,,,,,,,,,,,,,northern pipefish,northern pipefish,northern pipefish,,1,,,,,,,,
38,2009-06-09,,,,,,,,,,,,,,,,,,,,,sand shrimp,sand shrimp,shrimp,,1,,,,,,,,
39,2009-06-09,,,,,,,,,,,,,,,,,,,,,hermit crab,unidentified hermit crab,hermit crab,,1,,,,,,,,
40,2009-06-09,,,,,,,,,,,,,,,,,,,,,northern pipefish,northern pipefish,northern pipefish,,1,,,,,,,,
41,2009-06-09,,,,,,,,,,,,,,,,,,,,,naked goby,naked goby,naked goby,,1,,,,,,,,
42,2009-06-09,,,,,,,,,,,,,,,,,,,,,winter flounder,winter flounder,flatfish,,1,,,,,,,,
43,2009-06-09,,,,,,,,,,,,,,,,,,,,,bay anchovy,bay anchovy,bay anchovy,,1,,,,,,,,
44,2009-06-09,,,,,,,,,,,,,,,,,,,,,windowpane flounder,windowpane flounder,flatfish,,1,,,,,,,,
45,2009-06-20,,,,,,,,,,,,,,,,,,,,,bay anchovy,bay anchovy,bay anchovy,,1,,,,,,,,
46,2009-06-20,,,,,,,,,,,,,,,,,,,,,northern pipefish,northern pipefish,northern pipefish,,1,,,,,,,,
47,2009-06-20,,,,,,,,,,,,,,,,,,,,,striped bass,striped bass,striped bass,,1,,,,,,,,
48,2009-06-20,,,,,,,,,,,,,,,,,,,,,shore shrimp,shore shrimp,shrimp,,1,,,,,,,,
49,2009-06-20,,,,,,,,,,,,,,,,,,,,,sand shrimp,sand shrimp,shrimp,,1,,,,,,,,
50,2009-06-20,,,,,,,,,,,,,,,,,,,,,sea squirts,sea squirt,tunicates,,1,,,,,,,,
51,2009-06-20,,,,,,,,,,,,,,,,,,,,,comb jelly,comb jelly,comb jelly,,1,,,,,,,,
52,2009-06-20,,,,,,,,,,,,,,,,,,,,,hydroids,hydrozoa,hydrozoa,,1,,,,,,,,
53,2009-06-20,,,,,,,,,,,,,,,,,,,,,hermit crab,unidentified hermit crab,hermit crab,,1,,,,,,,,
54,2009-06-20,,,,,,,,,,,,,,,,,,,,,snails,unidentified snail,sea snail,,1,,,,,,,,
55,2009-06-20,,,,,,,,,,,,,,,,,,,,,blue crab,blue crab,blue crab,,1,,,,,,,,
56,2009-07-17,,,,,,,,,,,,,,,,,,,,,comb jelly,comb jelly,comb jelly,,1,,,,,,,,
57,2009-07-17,,,,,,,,,,,,,,,,,,,,,green crab,green crab,green crab,,1,,,,,,,,
58,2009-07-17,,,,,,,,,,,,,,,,,,,,,snails,unidentified snail,sea snail,,1,,,,,,,,
59,2009-07-17,,,,,,,,,,,,,,,,,,,,,shore shrimp,shore shrimp,shrimp,,1,,,,,,,,
60,2009-07-17,,,,,,,,,,,,,,,,,,,,,lined seahorse,northern seahorse,northern seahorse,,1,,,,,,,,
