Species,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Total Caught,Total Seasons,,Species,Total Caught
american eel,0,0,0,0,2,3,0,0,1,1,7,4,,Total Caught Per Year,6291
american shad,0,0,0,0,0,0,0,0,0,1,1,1,,comb jelly,2356
amphipod,0,0,3,2,0,0,0,4,40,0,49,4,,atlantic silverside,1274
anemone,0,0,2,0,0,0,0,0,0,0,2,1,,shrimp,351
asian shore crab,0,0,4,0,8,13,12,40,44,40,161,7,,tunicates,284
atlantic menhaden,0,0,0,0,0,0,1,5,66,3,75,4,,sea snail,278
atlantic silverside,1,1,13,255,180,72,23,500,193,36,1274,10,,herring,235
atlantic tomcod,0,0,1,7,34,0,2,0,3,1,48,6,,bay anchovy,193
bay anchovy,1,1,0,150,23,1,0,0,16,1,193,7,,striped bass,187
black sea bass,0,0,0,0,0,1,0,0,21,1,23,3,,asian shore crab,161
blue crab,1,1,10,32,12,4,4,7,14,22,107,10,,jellyfish,144
bluefish,0,0,6,2,3,37,1,2,0,1,52,7,,blue crab,107
bluespotted cornetfish,0,0,0,0,0,0,0,1,0,0,1,1,,oyster,90
box crab,0,0,0,0,0,0,0,4,0,0,4,1,,atlantic menhaden,75
clams,0,0,0,0,0,0,0,0,0,8,8,1,,flatfish,59
comb jelly,1,1,14,393,170,505,67,36,827,342,2356,10,,bluefish,52
cunner,0,0,0,0,1,0,0,1,5,2,9,4,,amphipod,49
flatfish,1,0,9,7,8,1,7,10,7,9,59,9,,atlantic tomcod,48
green crab,0,1,1,7,8,0,1,0,10,0,28,6,,northern pipefish,42
grubby,0,0,0,0,0,0,1,0,0,1,2,2,,porgy,38
hermit crab,1,1,2,2,3,1,1,8,1,1,21,10,,green crab,28
herring,0,0,0,66,10,1,2,13,0,143,235,6,,mussel,28
hydrozoa,0,1,3,5,0,0,0,4,0,0,13,4,,black sea bass,23
isopod,0,0,0,1,0,0,0,1,0,0,2,2,,hermit crab,21
jellyfish,1,1,6,83,1,26,2,0,2,22,144,9,,hydrozoa,13
lady crab,1,0,1,0,0,0,0,4,3,2,11,5,,tautog,12
mole crab,0,0,0,0,0,0,0,0,1,0,1,1,,oyster toadfish,12
mud crab,0,0,0,0,1,2,0,0,4,4,11,4,,lady crab,11
mussel,0,0,1,0,2,0,0,9,13,3,28,5,,mud crab,11
naked goby,0,0,0,1,0,0,0,0,1,0,2,2,,polychaete worm,9
northern kingfish,1,0,1,1,0,0,1,0,3,1,8,6,,cunner,9
northern pipefish,1,2,10,5,5,1,1,6,7,4,42,10,,silver perch,8
northern seahorse,0,1,0,0,0,0,1,0,0,0,2,2,,northern kingfish,8
northern stargazer,0,0,0,0,1,0,0,0,0,0,1,1,,clams,8
oyster,0,0,0,17,0,0,0,0,30,43,90,3,,american eel,7
oyster toadfish,1,0,2,2,2,1,1,0,2,1,12,8,,spotted hake,6
polychaete worm,0,0,2,1,1,0,0,0,3,2,9,5,,white perch,5
porgy,0,0,0,0,3,0,3,24,8,0,38,4,,puffer,5
puffer,0,0,4,0,1,0,0,0,0,0,5,2,,sea robin,5
sea robin,1,0,1,0,0,0,0,0,3,0,5,3,,box crab,4
sea snail,0,1,2,73,22,2,0,9,112,57,278,8,,wrasel sea bass,3
sea squirt,0,0,0,0,0,1,0,0,0,0,1,1,,sponge,3
seaboard goby,0,0,0,0,0,0,0,0,1,0,1,1,,spider crab,3
sennet,0,0,1,0,0,0,0,0,0,0,1,1,,anemone,2
shrimp,3,2,16,129,58,10,9,19,31,74,351,10,,skillet fish,2
silver perch,0,0,0,0,1,0,0,0,1,6,8,3,,northern seahorse,2
skillet fish,0,0,0,1,1,0,0,0,0,0,2,2,,naked goby,2
spider crab,0,0,0,1,0,0,0,0,2,0,3,2,,isopod,2
sponge,0,0,1,0,0,0,0,1,1,0,3,3,,white mullet,2
spotted hake,0,0,0,0,6,0,0,0,0,0,6,1,,western mosquito fish,2
spotted whiff,0,0,0,0,0,0,0,0,0,1,1,1,,grubby,2
striped bass,1,1,7,24,3,2,35,56,16,42,187,10,,sennet,1
tautog,0,0,0,0,0,0,0,4,1,7,12,3,,american shad,1
tube worm,0,0,0,1,0,0,0,0,0,0,1,1,,unidentified fish,1
tunicates,1,1,0,76,89,1,0,20,64,32,284,8,,bluespotted cornetfish,1
unidentified fish,0,0,0,0,0,0,0,0,1,0,1,1,,tube worm,1
western mosquito fish,0,0,0,0,0,0,0,0,2,0,2,1,,mole crab,1
white mullet,0,0,0,0,2,0,0,0,0,0,2,1,,spotted whiff,1
white perch,0,0,0,1,0,0,0,4,0,0,5,2,,sea squirt,1
wrasel sea bass,0,0,0,0,3,0,0,0,0,0,3,1,,seaboard goby,1
Total Caught Per Year,17,16,123,1345,664,685,175,792,1560,914,6291,10,,northern stargazer,1
