Grouped Corrected Common Name,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total Caught,Total Seasons,,Grouped Corrected Common Name,Total Caught
american eel,0,0,0,0,2,3,0,0,1,1,0,2,9,4,,Total Caught Per Year,10371
american shad,0,0,0,0,0,0,0,0,0,1,0,0,1,1,,atlantic silverside,3795
amphipod,0,0,3,2,0,0,0,4,40,0,0,0,49,4,,comb jelly,2590
anemone,0,0,2,0,0,0,0,0,0,0,0,0,2,1,,sea snail,577
asian shore crab,0,0,4,0,8,13,12,43,50,40,30,0,200,8,,shrimp,559
atlantic menhaden,0,0,0,0,0,0,1,5,70,3,53,104,236,5,,tunicates,285
atlantic silverside,1,1,13,255,180,74,42,1030,250,37,477,1435,3795,11,,bay anchovy,265
atlantic tomcod,0,0,1,7,34,0,2,0,3,1,10,44,102,7,,herring,249
bay anchovy,1,1,0,150,23,1,0,0,16,1,4,68,265,8,,atlantic menhaden,236
black sea bass,0,0,0,0,0,1,0,0,21,1,0,0,23,3,,striped bass,219
blue crab,1,1,10,32,12,4,4,7,16,22,16,14,139,11,,asian shore crab,200
bluefish,0,0,6,2,3,37,1,5,0,1,11,28,94,8,,jellyfish,187
bluespotted cornetfish,0,0,0,0,0,0,0,1,0,0,0,0,1,1,,blue crab,139
box crab,0,0,0,0,0,0,0,4,0,0,0,0,4,1,,atlantic tomcod,102
clam,0,0,0,0,0,0,0,0,1,8,1,11,21,3,,bluefish,94
comb jelly,1,1,14,393,170,505,86,58,887,347,123,5,2590,11,,oyster,90
cunner,0,0,0,0,1,0,0,1,6,2,0,1,11,4,,silver perch,72
flatfish,1,0,9,7,8,1,7,10,7,9,6,3,68,10,,hermit crab,71
green crab,0,1,1,7,8,0,1,0,10,0,2,0,30,7,,flatfish,68
grubby,0,0,0,0,0,0,1,0,0,0,0,0,1,1,,porgy,67
hermit crab,1,1,2,2,3,1,1,8,1,1,38,12,71,11,,northern pipefish,65
herring,0,0,0,66,10,1,2,13,0,143,4,10,249,7,,mussel,57
horseshoe crab,0,0,0,0,0,0,0,0,0,0,2,7,9,1,,amphipod,49
hydrozoa,0,1,3,5,0,0,0,4,0,0,0,0,13,4,,unidentified shrimp,44
isopod,0,0,0,1,0,0,0,1,0,0,0,2,4,2,,green crab,30
jellyfish,1,1,6,83,1,26,2,0,3,22,20,22,187,10,,tautog,26
lady crab,1,0,1,0,0,0,0,4,3,2,0,0,11,5,,black sea bass,23
mole crab,0,0,0,0,0,0,0,0,1,0,0,0,1,1,,clam,21
mud crab,0,0,0,0,1,2,0,0,4,4,0,0,11,4,,skilletfish,14
mullet fish,0,0,0,0,0,0,0,0,1,0,0,0,1,1,,oyster toadfish,14
mussel,0,0,1,0,2,0,0,9,13,3,12,17,57,6,,polychaete worm,14
naked goby,0,0,0,1,0,0,0,0,1,0,0,0,2,2,,hydrozoa,13
needlefish,0,0,0,0,0,0,0,0,0,0,0,4,4,0,,mud crab,11
northern kingfish,1,0,1,1,0,0,1,0,3,1,0,0,8,6,,lady crab,11
northern pipefish,1,2,10,5,5,1,1,6,7,4,13,10,65,11,,cunner,11
northern seahorse,0,1,0,0,0,0,1,1,0,0,0,0,3,3,,horseshoe crab,9
northern stargazer,0,0,0,0,1,0,0,0,0,0,0,0,1,1,,american eel,9
oyster,0,0,0,17,0,0,0,0,30,43,0,0,90,3,,northern kingfish,8
oyster toadfish,1,0,2,2,2,1,1,0,2,1,0,2,14,8,,white perch,7
pollock,0,0,0,0,0,0,0,0,0,0,1,0,1,1,,puffer,7
polychaete worm,0,0,2,1,1,0,0,1,3,2,1,3,14,7,,spotted hake,6
porgy,0,0,0,0,3,0,3,40,13,0,6,2,67,5,,sea robin,5
puffer,0,0,4,0,1,0,0,0,0,0,0,2,7,2,,box crab,4
sculpin,0,0,0,0,0,0,0,0,0,1,0,0,1,1,,isopod,4
sea robin,1,0,1,0,0,0,0,0,3,0,0,0,5,3,,needlefish,4
sea snail,0,1,2,73,22,2,0,9,113,57,59,239,577,9,,striped anchovy,3
seaboard goby,0,0,0,0,0,0,0,0,1,0,0,0,1,1,,wrasel sea bass,3
sennet,0,0,1,0,0,0,0,0,0,0,0,0,1,1,,northern seahorse,3
shrimp,3,2,16,129,58,10,9,24,31,74,75,128,559,11,,spider crab,3
silver perch,0,0,0,0,1,0,0,0,1,6,4,60,72,4,,sponge,3
skilletfish,0,0,0,1,1,0,0,0,0,0,4,8,14,3,,spot,3
spider crab,0,0,0,1,0,0,0,0,2,0,0,0,3,2,,naked goby,2
sponge,0,0,1,0,0,0,0,1,1,0,0,0,3,3,,white mullet,2
spot,0,0,0,0,0,0,0,0,0,0,0,3,3,0,,western mosquito fish,2
spotted hake,0,0,0,0,6,0,0,0,0,0,0,0,6,1,,anemone,2
spotted whiff,0,0,0,0,0,0,0,0,0,1,0,0,1,1,,mole crab,1
striped anchovy,0,0,0,0,0,0,0,0,0,0,0,3,3,0,,unidentified fish,1
striped bass,1,1,7,24,3,2,35,64,16,43,15,8,219,11,,mullet fish,1
striped burrfish,0,0,0,0,0,0,0,0,0,0,1,0,1,1,,tube worm,1
tautog,0,0,0,0,0,0,0,4,1,7,5,9,26,4,,sculpin,1
tube worm,0,0,0,1,0,0,0,0,0,0,0,0,1,1,,striped burrfish,1
tunicates,1,1,0,76,89,2,0,20,64,32,0,0,285,8,,pollock,1
unidentified fish,0,0,0,0,0,0,0,0,1,0,0,0,1,1,,spotted whiff,1
unidentified shrimp,0,0,0,0,0,0,0,0,0,0,0,44,44,0,,american shad,1
western mosquito fish,0,0,0,0,0,0,0,0,2,0,0,0,2,1,,bluespotted cornetfish,1
white mullet,0,0,0,0,2,0,0,0,0,0,0,0,2,1,,sennet,1
white perch,0,0,0,1,0,0,0,4,0,0,1,1,7,3,,seaboard goby,1
wrasel sea bass,0,0,0,0,3,0,0,0,0,0,0,0,3,1,,northern stargazer,1
Total Caught Per Year,17,16,123,1345,664,687,213,1381,1699,921,994,2311,10371,11,,grubby,1
