Sampling Location,Duplicate Sample,Sample Date,Sample Time,Weather Condition (Dry or Wet),Top Sample Temperature (ºC),Bottom Sample Temperature (ºC),Site Actual Depth (ft),Top Sample Depth(ft),Bottom Sample Depth (ft),Top Salinity  (psu),Bottom Salinity  (psu),Top Conductivity (S/m),Bottom Conductivity (S/m),"CTD (conductivity, temperature, depth profiler) Top Dissolved Oxygen (mg/L)","CTD (conductivity, temperature, depth profiler) Bottom Dissolved Oxygen (mg/L)",Percentage O2 Saturation Top Sample,Percentage O2 Saturation Bottom sample,Light Trans (% transparency) Top Sample,Light Trans (% transparency) Bottom Sample,Top Sigma-T (kg/m3),Bottom Sigma-T (kg/m3),Top Fluorometer (mg/m3),Bottom Fluorometer mg/m3,"CTD (conductivity, temperature, depth profiler) PH Top Sample","CTD (conductivity, temperature, depth profiler) PH Bottom Sample",Top Sample Photosysthetically Active Radiation Reference (400-700nm light (uE/S),Top Sample Par (uE/S m2),Bottom Sample Par uE/S (uE/S m2),Oxidation Reduction Potential (mV) Top Sample,Oxidation Reduction Potential (mV) Bottom Sample,Current Speed (knot),Current Direction (Current Direction),Wind Speed (mph),Wind Direction (Wind Direction),Sea State ,Winkler Method Top Dissolved Oxygen (mg/L),Winkler Method Bottom Dissolved Oxygen (mg/L),Secchi Depth (ft),Top PH,Bottom PH,Top Total Coliform Cells/100 mL,Top Bottom Coliform Cells/100 mL,Fecal Coliform Top Sample Less Than or Greater Than Result,Fecal Coliform Bottom Sample Less Than or Greater Than Result,Top Fecal Coliform Bacteria (Cells/100mL),Bottom Fecal Coliform Bacteria (Cells/100mL),Enterococcus Top Sample Less Than or Greater Than Result,Enterococcus Bottom Sample Less Than or Greater Than Result,Top Enterococci Bacteria (Cells/100mL),Bottom Enterococci Bacteria (Cells/100mL),Top Nitrate/Nitrite (mg/L),Bottom Nitrate/Nitrite (mg/L),Top Ammonium (mg/L),Bottom Ammonium (mg/L),Top Ortho-Phosphorus (mg/L),Bottom Ortho-Phosphorus (mg/L),Top Total Kjeldhal Nitrogen (mg/L),Bottom Total Kjeldhal Nitrogen (mg/L),Top Silica (mg/L),Bottom Silica (mg/L),Total Phosphorus(mg/L),Bottom Total Phosphorus (mg/L),Top Total Suspended Solid (mg/L),Bottom Total Suspended Solid (mg/L),Top Active Chlorophyll 'A' (µg/L),Bottom Active Chlorophyll 'A' (µg/L),Chlorophyll Top Sample Field (u/L (YSI),Chlorophyll Bottom Sample Field (u/L (YSI),TOP Total Organic Carbon (mg/L),Top Dissolved Organic Carbon (mg/L),Bottom Dissolved Organic Carbon (mg/L),Top Dissolved Organic Carbon YSI (mg/L),Bottom Dissolved Organic Carbon YSI (mg/L),Top Sample Depth  YSI (ft),Bottom Depth  YSI (ft),Top Sample Salinity YSI (psu),Bottom Sample Salinity YSI (psu),Top Sample Temperature  YSI (ºC),Bottom Sample Temperature YSI (ºC),Top Bacteria # per C.C. 1909,Bottom Bacteria # per C.C. 1909,Top Beam Attenuation Coefficient,Bottom Beam Attenuation Coefficient,Top Five-Day Biochemical Oxygen Demand(mg/L),Bottom Five-Day Biochemical Oxygen Demand(mg/L),Top PCB Plate Count (Thous/mL) ,Bottom PCB plate Count (Thous/mL) ,Top Coliform (Log No/mL),Bottom Coliform (Log No/mL),Oakwood BOD Top Sample (mg/L) ,Oakwood BOD Bottom Sample(mg/L),Oakwood  Total Suspended Solid Top Sample  (mg/L),Oakwood Total Suspended Solid Bottom Sample (mg/L),Top Turbidity( Nephelometric Turbidity Units),Bottom Turbidity YSI (Nephelometric Turbidity Units),Sampling Comment,Long,Lat,Type
N5,,7/14/1980,10:38 AM,,22.2,21.7,,,,26.8,27.3,,,,,,,,,,,,,,,,,,,,,N,,,,3.8,3.7,,,,2000,23000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,1.5,,,,,,-74.03,40.7045,Permanent
N5,,7/14/1980,10:38 AM,,22.2,21.7,,,,26.8,27.3,,,,,,,,,,,,,,,,,,,,,N,,,,3.8,3.7,,,,2000,23000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,1.5,,,,,,-74.03,40.7045,Permanent
N5,,3/18/1998,2:46 PM,,4.61,4.93,41,3.28,52.48,11.49,19.79,1.19,1.99,12,10.13,11.95,11.22,23.74,12.36,9.11,15.65,,,,,65.94,20.78,,,,,S,1,E,1,11.51,10.52,2,7.77,7.79,,,,,,,,,,,0.414,,0.242,,,,0.703,,2.86,0.838,,,20,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
N5,,9/8/2009,2:01 PM,Dry,23.14,22.4,48,3,47,20.15,25.09,3.11,3.74,5.76,5.4,75.76,72.19,,,12.67,16.6,9.2483,4.0476,8.57,8.68,1079.6,66.69,0,136.682,138.06,0.8,S,5,N,1,5.72,5.5,4.5,7.46,7.54,,,E,,6,,,,2,,0.36,,0.31,,,,1.36,,1.9,,0.147,,1.2,4,4,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
E2,,8/16/1928,2:35 PM,,24.4,23.9,40,,,23.1,23.45,,,,,,,,,,,,,,,,,,,,,S,,,,0.66,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.97,40.735333,Permanent
N5,,9/22/2000,10:39 AM,Dry,21.2,21.3,41,,,12.06,21.8,,,,,,,,,,,,,,,,,,,,,S,12,N,1,6.58,4.55,4,7.37,7.12,,,,,,,,,,,0.562,,0.295,,,,0.677,,2.76,,0.152,,17.4,11.6,1.83,,,,,4.13,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
N5,,9/4/1934,2:25 PM,,22.2,22.2,49,,,24.5,27.3,,,,,,,,,,,,,,,,,,,,,N,,,,3.95,3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
E2,,7/19/2004,12:53 PM,Wet,21.8,21.58,43,5,45,21.64,21.83,3.23,3.24,,,48.59,47.11,78.59,75.71,14.16,14.35,,,,,,,,,,1.2,S,0,0,1,4.77,4.6,5,7.47,7.54,,,,,95,,,,20,,0.404,,0.453,,0.137,,0.862,,1.48,,0.169,,1.2,8.6,0.93,,0.83,,,3.32,,3.75,3.65,,,,,,,,,,,,,,,,,,,,,,,,-73.97,40.735333,Permanent
E2,,9/10/1980,9:44 AM,,23.9,23.9,,,,28.7,28.7,,,,,,,,,,,,,,,,,,,,,E,,,,2.8,2.7,,,,7800,11000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,0.8,,,,,,-73.97,40.735333,Permanent
E2,,9/10/1980,9:44 AM,,23.9,23.9,,,,28.7,28.7,,,,,,,,,,,,,,,,,,,,,E,,,,2.8,2.7,,,,7800,11000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,0.8,,,,,,-73.97,40.735333,Permanent
E2,,6/26/1925,10:25 AM,,20.6,20,40,,,28,28,,,,,,,,,,,,,,,,,,,,,N,,,,1.69,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.97,40.735333,Permanent
E2,,8/16/1938,12:40 PM,,24.4,23.3,40,,,22.4,22.05,,,,,,,,,,,,,,,,,,,,,N,,,,1.85,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,0.95,3,2,,,,,,,,-73.97,40.735333,Permanent
E2,,6/20/1934,10:45 AM,,21.1,20,40,,,23.8,24.5,,,,,,,,,,,,,,,,,,,,,SL,,,,1.48,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.97,40.735333,Permanent
E2,,8/12/1996,1:27 PM,,22.8,22.8,49,3.28,39.36,22.37,22.37,3.4,3.4,3.76,3.52,49.74,46.56,72.39,72.03,14.44,14.44,13.04,12.16,,,3.23,3.28,,,,,W,9,S,1,4.55,4.57,4.5,7.08,7.15,270,2400,,,84,104,,,,,0.416,,0.494,,0.113,,0.998,,,,0.159,,60,86,5.9,,,,,,,,,,,,,,,,,,,0.6,0.5,,,,,,,,,,,,-73.97,40.735333,Permanent
E2,,8/10/1933,10:05 AM,,23.9,23.9,40,,,26.95,27.65,,,,,,,,,,,,,,,,,,,,,N,,,,1.6,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.97,40.735333,Permanent
