,Date,Number Caught,Species
0,2008-09-13 00:00:00,,sea squirt
1,2008-09-13 00:00:00,,shore shrimp
2,2008-09-13 00:00:00,,mantis shrimp
3,2008-09-13 00:00:00,,sand shrimp
4,2008-09-13 00:00:00,,unidentified hermit crab
5,2008-09-13 00:00:00,,oyster toadfish
6,2008-09-13 00:00:00,,striped bass
7,2008-09-13 00:00:00,,northern kingfish
8,2008-09-13 00:00:00,,northern pipefish
9,2008-09-13 00:00:00,,striped searobin
10,2008-09-13 00:00:00,,atlantic silverside
11,2008-09-13 00:00:00,,bay anchovy
12,2008-09-13 00:00:00,,blue crab
13,2008-09-13 00:00:00,,lady crab
14,2008-09-13 00:00:00,,winter flounder
15,2008-09-13 00:00:00,,comb jelly
16,2008-09-13 00:00:00,,lions mane jellyfish
18,2009-06-20 00:00:00,,bay anchovy
19,2009-06-20 00:00:00,,northern pipefish
20,2009-06-20 00:00:00,,striped bass
21,2009-06-20 00:00:00,,shore shrimp
22,2009-06-20 00:00:00,,sand shrimp
23,2009-06-20 00:00:00,,sea squirt
24,2009-06-20 00:00:00,,blue crab
25,2009-06-20 00:00:00,,comb jelly
26,2009-06-20 00:00:00,,hydrozoa
27,2009-06-20 00:00:00,,unidentified hermit crab
28,2009-06-20 00:00:00,,unidentified snail
30,2009-09-23 00:00:00,,lions mane jellyfish
31,2009-09-23 00:00:00,,green crab
32,2009-09-23 00:00:00,,atlantic silverside
33,2009-09-23 00:00:00,,seahorse
34,2009-09-23 00:00:00,,northern pipefish
35,2010-06-12 00:00:00,,atlantic silverside
36,2010-06-12 00:00:00,,atlantic tomcod
37,2010-06-12 00:00:00,,blue crab
38,2010-06-12 00:00:00,,bluefish
39,2010-06-12 00:00:00,,comb jelly
40,2010-06-12 00:00:00,,northern pipefish
41,2010-06-12 00:00:00,,lions mane jellyfish
42,2010-06-12 00:00:00,,shore shrimp
43,2010-06-12 00:00:00,,winter flounder
44,2010-06-26 00:00:00,,comb jelly
45,2010-06-26 00:00:00,,jelly fish
46,2010-06-26 00:00:00,,atlantic silverside
47,2010-06-26 00:00:00,,northern pipefish
48,2010-06-26 00:00:00,,sand shrimp
49,2010-07-07 00:00:00,,atlantic silverside
50,2010-07-07 00:00:00,,comb jelly
51,2010-07-08 00:00:00,,sand shrimp
52,2010-07-08 00:00:00,,shore shrimp
53,2010-07-08 00:00:00,,winter flounder
54,2010-07-08 00:00:00,,striped bass
55,2010-07-08 00:00:00,,northern pipefish
56,2010-07-08 00:00:00,,blue crab
57,2010-07-08 00:00:00,,comb jelly
58,2010-07-09 00:00:00,,sand shrimp
59,2010-07-09 00:00:00,,striped bass
60,2010-07-09 00:00:00,,northern puffer
61,2010-07-09 00:00:00,,northern pipefish
62,2010-07-09 00:00:00,,lady crab
63,2010-07-09 00:00:00,,winter flounder
64,2010-07-09 00:00:00,,atlantic silverside
65,2010-07-09 00:00:00,,summer flounder
66,2010-07-09 00:00:00,,amphipod
67,2010-07-09 00:00:00,,hydrozoa
68,2010-07-09 00:00:00,,comb jelly
69,2010-07-10 00:00:00,,winter flounder
70,2010-07-10 00:00:00,,blue crab
71,2010-07-10 00:00:00,,sand shrimp
72,2010-07-10 00:00:00,,striped bass
73,2010-07-10 00:00:00,,atlantic silverside
74,2010-07-10 00:00:00,,bluefish
75,2010-07-10 00:00:00,,comb jelly
76,2010-07-10 00:00:00,,northern pipefish
77,2010-07-10 00:00:00,,hydrozoa
78,2010-07-10 00:00:00,,amphipod
79,2010-07-20 00:00:00,,atlantic silverside
80,2010-07-20 00:00:00,,blue crab
81,2010-07-20 00:00:00,,sand shrimp
82,2010-07-20 00:00:00,,comb jelly
83,2010-07-20 00:00:00,,shore shrimp
84,2010-07-20 00:00:00,,jelly fish
85,2010-07-20 00:00:00,,comb jelly
86,2010-07-20 00:00:00,,unidentified snail
87,2010-07-20 00:00:00,,bluefish
88,2010-07-21 00:00:00,,atlantic silverside
89,2010-07-21 00:00:00,,blue crab
90,2010-07-21 00:00:00,,comb jelly
91,2010-07-21 00:00:00,,jelly fish
92,2010-07-21 00:00:00,,lions mane jellyfish
93,2010-07-21 00:00:00,,sand shrimp
94,2010-07-21 00:00:00,,shore shrimp
95,2010-07-21 00:00:00,,unidentified snail
96,2010-07-21 00:00:00,,bluefish
97,2010-07-21 00:00:00,,unidentified flatfish
98,2010-07-21 00:00:00,,northern pipefish
99,2010-07-21 00:00:00,,northern sea robin
100,2010-07-21 00:00:00,,oyster toadfish
101,2010-07-22 00:00:00,,blue crab
102,2010-07-22 00:00:00,,amphipod
103,2010-07-22 00:00:00,,clam worm probably nereis spp
104,2010-07-22 00:00:00,,unidentified hermit crab
105,2010-07-22 00:00:00,,sand shrimp
106,2010-07-22 00:00:00,,shore shrimp
107,2010-07-22 00:00:00,,comb jelly
108,2010-07-22 00:00:00,,hydrozoa
109,2010-07-22 00:00:00,,atlantic silverside
110,2010-07-22 00:00:00,,winter flounder
111,2010-07-22 00:00:00,,northern pipefish
112,2010-07-22 00:00:00,,northern puffer
113,2010-07-22 00:00:00,,striped bass
114,2010-07-24 00:00:00,,northern kingfish
115,2010-07-24 00:00:00,,winter flounder
116,2010-07-24 00:00:00,,northern puffer
117,2010-07-24 00:00:00,,northern pipefish
118,2010-07-24 00:00:00,,striped bass
119,2010-07-24 00:00:00,,bluefish
120,2010-07-24 00:00:00,,atlantic silverside
121,2010-07-24 00:00:00,,comb jelly
122,2010-07-24 00:00:00,,sand shrimp
123,2010-07-24 00:00:00,,blue crab
124,2010-07-24 00:00:00,,sennet
125,2010-08-10 00:00:00,,blue crab
126,2010-08-10 00:00:00,,northern puffer
127,2010-08-10 00:00:00,,unidentified hermit crab
128,2010-08-10 00:00:00,,sand shrimp
129,2010-08-10 00:00:00,,shore shrimp
130,2010-08-10 00:00:00,,asian shore crab
131,2010-08-10 00:00:00,,striped bass
132,2010-08-10 00:00:00,,atlantic silverside
133,2010-08-10 00:00:00,,unidentified flatfish
134,2010-09-18 00:00:00,,atlantic silverside
135,2010-09-18 00:00:00,,oyster toadfish
136,2010-09-18 00:00:00,,anemone
137,2010-09-18 00:00:00,,comb jelly
138,2010-09-18 00:00:00,,asian shore crab
139,2010-09-18 00:00:00,,blue crab
140,2010-09-18 00:00:00,,northern pipefish
141,2010-09-18 00:00:00,,bluefish
142,2010-09-18 00:00:00,,striped bass
143,2010-09-21 00:00:00,,atlantic silverside
144,2010-09-21 00:00:00,,northern pipefish
145,2010-09-21 00:00:00,,sandworm
146,2010-09-21 00:00:00,,anemone
147,2010-09-21 00:00:00,,unidentified shrimp
148,2010-09-21 00:00:00,,comb jelly
149,2010-09-21 00:00:00,,green crab
150,2010-09-21 00:00:00,,blue crab
151,2010-09-21 00:00:00,,asian shore crab
152,2010-10-14 00:00:00,,atlantic silverside
153,2010-10-14 00:00:00,,comb jelly
154,2010-10-14 00:00:00,,red beard sponge
155,2010-10-14 00:00:00,,blue mussel
156,2010-10-14 00:00:00,,asian shore crab
157,2010-10-14 00:00:00,,unidentified jelly fish
158,2011-05-10 00:00:00,2,amphipod
159,2011-05-10 00:00:00,6,atlantic silverside
160,2011-05-10 00:00:00,1,atlantic tomcod
161,2011-05-10 00:00:00,2,comb jelly
162,2011-05-10 00:00:00,2,moon jelly
163,2011-05-10 00:00:00,3,unidentified snail
164,2011-05-14 00:00:00,3,bay anchovy
165,2011-05-14 00:00:00,27,atlantic silverside
166,2011-05-14 00:00:00,9,blue crab
167,2011-05-14 00:00:00,1,comb jelly
168,2011-05-14 00:00:00,2,unidentified flatfish
169,2011-05-14 00:00:00,1,unidentified hermit crab
170,2011-05-14 00:00:00,6,unidentified herring
171,2011-05-14 00:00:00,1,isopod
172,2011-05-14 00:00:00,2,northern pipefish
173,2011-05-14 00:00:00,68,unidentified shrimp
174,2011-05-14 00:00:00,4,striped bass
175,2011-05-20 00:00:00,36,bay anchovy
176,2011-05-20 00:00:00,4,atlantic tomcod
177,2011-05-20 00:00:00,45,comb jelly
178,2011-05-20 00:00:00,1,green crab
179,2011-05-20 00:00:00,2,unidentified herring
180,2011-05-20 00:00:00,2,unidentified shrimp
181,2011-05-20 00:00:00,1,striped bass
182,2011-05-28 00:00:00,73,bay anchovy
183,2011-05-28 00:00:00,1,blue crab
184,2011-05-28 00:00:00,2,comb jelly
185,2011-05-28 00:00:00,3,unidentified herring
186,2011-05-28 00:00:00,1,unidentified shrimp
187,2011-05-28 00:00:00,1,striped bass
188,2011-06-11 00:00:00,20,bay anchovy
189,2011-06-11 00:00:00,1,atlantic tomcod
190,2011-06-11 00:00:00,6,blue crab
191,2011-06-11 00:00:00,9,comb jelly
192,2011-06-11 00:00:00,1,unidentified flatfish
193,2011-06-11 00:00:00,1,unidentified herring
194,2011-06-11 00:00:00,1,northern pipefish
195,2011-06-11 00:00:00,37,unidentified shrimp
196,2011-06-14 00:00:00,2,bay anchovy
197,2011-06-14 00:00:00,2,atlantic silverside
198,2011-06-14 00:00:00,1,atlantic tomcod
199,2011-06-14 00:00:00,2,blue crab
200,2011-06-14 00:00:00,2,comb jelly
201,2011-06-14 00:00:00,1,golden star tunicate
202,2011-06-14 00:00:00,1,unidentified herring
203,2011-06-14 00:00:00,1,northern pipefish
204,2011-06-14 00:00:00,4,eastern oyster
205,2011-06-14 00:00:00,5,unidentified shrimp
206,2011-06-14 00:00:00,2,unidentified snail
207,2011-06-26 00:00:00,1,bay anchovy
208,2011-06-26 00:00:00,8,atlantic silverside
209,2011-06-26 00:00:00,1,blue crab
210,2011-06-26 00:00:00,2,bluefish
211,2011-06-26 00:00:00,12,comb jelly
212,2011-06-26 00:00:00,1,unidentified flatfish
213,2011-06-26 00:00:00,3,unidentified herring
214,2011-06-26 00:00:00,3,unidentified shrimp
215,2011-06-26 00:00:00,1,unidentified snail
216,2011-07-10 00:00:00,5,bay anchovy
217,2011-07-10 00:00:00,18,atlantic silverside
218,2011-07-10 00:00:00,60,comb jelly
219,2011-07-10 00:00:00,1,green crab
220,2011-07-10 00:00:00,1,hydrozoa
221,2011-07-10 00:00:00,30,moon jelly
222,2011-07-10 00:00:00,1,sand worm
223,2011-07-10 00:00:00,15,sea squirt
224,2011-07-10 00:00:00,10,unidentified shrimp
225,2011-07-10 00:00:00,4,unidentified snail
226,2011-07-10 00:00:00,1,striped bass
227,2011-07-10 00:00:00,1,tube worm
228,2011-07-11 00:00:00,5,atlantic silverside
229,2011-07-11 00:00:00,1,blue crab
230,2011-07-11 00:00:00,20,comb jelly
231,2011-07-11 00:00:00,1,hogchoker
232,2011-07-12 00:00:00,5,atlantic silverside
233,2011-07-12 00:00:00,2,blue crab
234,2011-07-12 00:00:00,40,comb jelly
235,2011-07-12 00:00:00,1,spider crab
236,2011-07-12 00:00:00,5,moon jelly
237,2011-07-12 00:00:00,10,sea squirt
238,2011-07-12 00:00:00,10,unidentified snail
239,2011-07-13 00:00:00,3,atlantic silverside
240,2011-07-13 00:00:00,2,bay anchovy
241,2011-07-13 00:00:00,20,comb jelly
242,2011-07-13 00:00:00,1,unidentified shrimp
243,2011-07-13 00:00:00,1,unidentified snail
244,2011-07-13 00:00:00,1,white perch
245,2011-08-02 00:00:00,6,atlantic silverside
246,2011-08-02 00:00:00,1,blue crab
247,2011-08-02 00:00:00,20,comb jelly
248,2011-08-02 00:00:00,1,eastern oyster
249,2011-08-02 00:00:00,0,unidentified snail
250,2011-08-09 00:00:00,10,atlantic silverside
251,2011-08-09 00:00:00,20,comb jelly
252,2011-08-09 00:00:00,1,eastern oyster
253,2011-08-09 00:00:00,1,oyster toadfish
254,2011-08-09 00:00:00,0,unidentified snail
255,2011-08-10 00:00:00,75,atlantic silverside
256,2011-08-10 00:00:00,3,blue crab
257,2011-08-10 00:00:00,45,comb jelly
258,2011-08-10 00:00:00,2,eastern oyster
259,2011-08-10 00:00:00,2,unidentified shrimp
260,2011-08-10 00:00:00,2,unidentified snail
261,2011-09-10 00:00:00,75,atlantic silverside
262,2011-09-10 00:00:00,1,blue crab
263,2011-09-10 00:00:00,50++,comb jelly
264,2011-09-10 00:00:00,1,green crab
265,2011-09-10 00:00:00,50++,unidentified herring
266,2011-09-10 00:00:00,30++,moon jelly
267,2011-09-10 00:00:00,1,northern pipefish
268,2011-09-10 00:00:00,3,eastern oyster
269,2011-09-10 00:00:00,0,unidentified snail
270,2011-09-10 00:00:00,1,striped bass
271,2011-09-20 00:00:00,6,bay anchovy
272,2011-09-20 00:00:00,10,atlantic silverside
273,2011-09-20 00:00:00,3,blue crab
274,2011-09-20 00:00:00,25,comb jelly
275,2011-09-20 00:00:00,2,green crab
276,2011-09-20 00:00:00,1,unidentified hermit crab
277,2011-09-20 00:00:00,2,hydrozoa
278,2011-09-20 00:00:00,1,moon jelly
279,2011-09-20 00:00:00,4,eastern oyster
280,2011-09-20 00:00:00,1,oyster toadfish
281,2011-09-20 00:00:00,1,skillet fish
282,2011-09-20 00:00:00,0,unidentified snail
283,2011-09-20 00:00:00,12,striped bass
284,2011-09-26 00:00:00,2,bay anchovy
285,2011-09-26 00:00:00,5,atlantic silverside
286,2011-09-26 00:00:00,2,blue crab
287,2011-09-26 00:00:00,20,comb jelly
288,2011-09-26 00:00:00,2,unidentified flatfish
289,2011-09-26 00:00:00,2,green crab
290,2011-09-26 00:00:00,2,hydrozoa
291,2011-09-26 00:00:00,15,moon jelly
292,2011-09-26 00:00:00,1,naked goby
293,2011-09-26 00:00:00,1,northern kingfish
294,2011-09-26 00:00:00,2,eastern oyster
295,2011-09-26 00:00:00,50,sea squirt
296,2011-09-26 00:00:00,50,unidentified snail
297,2011-09-26 00:00:00,4,striped bass
298,2012-04-25 00:00:00,7.0,unidentified shrimp
299,2012-04-25 00:00:00,12.0,seven spine shrimp
300,2012-04-25 00:00:00,2.0,unidentified snail
301,2012-04-25 00:00:00,1.0,striped bass
302,2012-04-25 00:00:00,1.0,tunicate
303,2012-05-16 00:00:00,7,bay anchovy
304,2012-05-16 00:00:00,4,atlantic tomcod
305,2012-05-16 00:00:00,1,green crab
306,2012-05-16 00:00:00,50,sea squirt
307,2012-05-16 00:00:00,1,unidentified shrimp
308,2012-05-16 00:00:00,7,seven spine shrimp
309,2012-05-16 00:00:00,6,unidentified snail
310,2012-05-16 00:00:00,2,spotted hake
311,2012-05-16 00:00:00,1,striped bass
312,2012-05-19 00:00:00,15,bay anchovy
313,2012-05-19 00:00:00,1,green crab
314,2012-05-19 00:00:00,2,unidentified shrimp
315,2012-05-19 00:00:00,7,seven spine shrimp
316,2012-05-30 00:00:00,6,atlantic silverside
317,2012-05-30 00:00:00,5,atlantic tomcod
318,2012-05-30 00:00:00,1,northern pipefish
319,2012-05-30 00:00:00,1,spotted hake
320,2012-05-31 00:00:00,1,american eel
321,2012-05-31 00:00:00,1,atlantic silverside
322,2012-05-31 00:00:00,1,unidentified flatfish
323,2012-05-31 00:00:00,1,moon jelly
324,2012-05-31 00:00:00,1,northern pipefish
325,2012-05-31 00:00:00,7,unidentified shrimp
326,2012-05-31 00:00:00,2,seven spine shrimp
327,2012-05-31 00:00:00,1,spotted hake
328,2012-05-31 00:00:00,1,striped bass
329,2012-06-01 00:00:00,2,atlantic silverside
330,2012-06-01 00:00:00,1,blue crab
331,2012-06-01 00:00:00,1,bluefish
332,2012-06-01 00:00:00,1,blue mussel
333,2012-06-01 00:00:00,3,unidentified snail
334,2012-06-02 00:00:00,3,asian shore crab
335,2012-06-02 00:00:00,23,atlantic silverside
336,2012-06-02 00:00:00,6,atlantic tomcod
337,2012-06-02 00:00:00,1,blueback herring
338,2012-06-02 00:00:00,1,blue crab
339,2012-06-02 00:00:00,1,comb jelly
340,2012-06-02 00:00:00,5,unidentified flatfish
341,2012-06-02 00:00:00,4,green crab
342,2012-06-02 00:00:00,8,unidentified herring
343,2012-06-02 00:00:00,2,northern pipefish
344,2012-06-02 00:00:00,1,ribbed mussel
345,2012-06-02 00:00:00,1,sandworm
346,2012-06-02 00:00:00,5,unidentified shrimp
347,2012-06-02 00:00:00,3,seven spine shrimp
348,2012-06-02 00:00:00,2,unidentified snail
349,2012-06-02 00:00:00,2,spotted hake
350,2012-06-14 00:00:00,19,atlantic tomcod
351,2012-06-14 00:00:00,2,blue crab
352,2012-06-14 00:00:00,2,comb jelly
353,2012-06-14 00:00:00,2,unidentified flatfish
354,2012-06-14 00:00:00,1,seven spine shrimp
355,2012-07-31 00:00:00,50+,atlantic silverside
356,2012-07-31 00:00:00,1,blueback herring
357,2012-07-31 00:00:00,1,bluefish
358,2012-07-31 00:00:00,25+,comb jelly
359,2012-07-31 00:00:00,1,northern puffer
360,2012-07-31 00:00:00,3,sea squirt
361,2012-08-14 00:00:00,1,bay anchovy
362,2012-08-14 00:00:00,14,atlantic silverside
363,2012-08-14 00:00:00,20,comb jelly
364,2012-08-14 00:00:00,50,comb jelly
365,2012-08-14 00:00:00,1,northern pipefish
366,2012-08-15 00:00:00,2,asian shore crab
367,2012-08-15 00:00:00,35,atlantic silverside
368,2012-08-15 00:00:00,10,comb jelly
369,2012-08-15 00:00:00,20+,comb jelly
370,2012-08-15 00:00:00,1,green crab
371,2012-09-15 00:00:00,3,asian shore crab
372,2012-09-15 00:00:00,3,blue crab
373,2012-09-15 00:00:00,20,comb jelly
374,2012-09-15 00:00:00,3,unidentified hermit crab
375,2012-09-15 00:00:00,1,oyster toadfish
376,2012-09-15 00:00:00,10,sea squirt
377,2012-09-15 00:00:00,4,unidentified shrimp
378,2012-09-15 00:00:00,1,northern stargazer
379,2012-09-15 00:00:00,1,skillet fish
380,2012-09-15 00:00:00,1,porgy
381,2012-09-27 00:00:00,6.0,atlantic silverside
382,2012-09-27 00:00:00,1.0,blue crab
383,2012-09-27 00:00:00,15.0,comb jelly
384,2012-09-27 00:00:00,1.0,oyster toadfish
385,2012-09-27 00:00:00,5.0,sea squirt
386,2012-09-27 00:00:00,1.0,porgy
387,2012-09-27 00:00:00,3.0,wrasel sea bass
388,2012-09-28 00:00:00,41,atlantic silverside
389,2012-09-28 00:00:00,1,blue crab
390,2012-09-28 00:00:00,4,comb jelly
391,2012-09-28 00:00:00,20,sea squirt
392,2012-09-28 00:00:00,1,porgy
393,2012-10-04 00:00:00,1.0,american eel
394,2012-10-04 00:00:00,1.0,atlantic silverside
395,2012-10-04 00:00:00,1.0,bluefish
396,2012-10-04 00:00:00,1.0,comb jelly
397,2012-10-04 00:00:00,8.0,unidentified snail
398,2012-10-04 00:00:00,1.0,white mullet
399,2012-10-10 00:00:00,1.0,atlantic silverside
400,2012-10-10 00:00:00,3.0,blue crab
401,2012-10-10 00:00:00,2.0,comb jelly
402,2012-10-10 00:00:00,1.0,green crab
404,2012-10-10 00:00:00,1.0,unidentified snail
405,2012-10-10 00:00:00,1.0,white mullet
406,2012-10-10 00:00:00,1.0,cunner
407,2012-10-10 00:00:00,1.0,silver perch
408,2012-10-10 00:00:00,1.0,white fingered mud crab
409,2013-06-04 00:00:00,1,blueback herring
410,2013-06-04 00:00:00,1,bay anchovy
411,2013-06-04 00:00:00,1,summer flounder
412,2013-06-04 00:00:00,1,sand shrimp
413,2013-06-04 00:00:00,1,asian shore crab
414,2013-06-04 00:00:00,15,comb jelly
415,2013-06-04 00:00:00,1 clump,golden star tunicate
416,2013-06-04 00:00:00,1,sea squirt
417,2013-06-17 00:00:00,1,american eel
418,2013-06-17 00:00:00,20,atlantic silverside
419,2013-06-17 00:00:00,50,comb jelly
420,2013-06-17 00:00:00,1,unidentified shrimp
421,2013-06-18 00:00:00,30,bluefish
422,2013-06-18 00:00:00,15,comb jelly
423,2013-06-18 00:00:00,1,jelly fish
424,2013-06-21 00:00:00,2,american eel
425,2013-06-21 00:00:00,20,comb jelly
426,2013-06-21 00:00:00,2,asian shore crab
427,2013-06-21 00:00:00,1,unidentified hermit crab
428,2013-06-21 00:00:00,1,unidentified snail
429,2013-06-21 00:00:00,4,shore shrimp
430,2013-06-22 00:00:00,1,oyster toadfish
431,2013-06-22 00:00:00,1,black sea bass
432,2013-06-22 00:00:00,20,ctenophore
433,2013-06-22 00:00:00,1,oyster drill snail
434,2013-06-22 00:00:00,5,asian shore crab
435,2013-07-18 00:00:00,15,comb jelly
436,2013-07-18 00:00:00,7,bluefish
437,2013-07-18 00:00:00,10,atlantic silverside
438,2013-07-19 00:00:00,20,comb jelly
439,2013-07-19 00:00:00,8,atlantic silverside
440,2013-07-19 00:00:00,1,mud crab
441,2013-08-01 00:00:00,17,atlantic silverside
442,2013-08-01 00:00:00,100,comb jelly
443,2013-08-04 00:00:00,25,moon jelly
444,2013-08-04 00:00:00,100+,comb jelly
445,2013-08-04 00:00:00,1,blue crab
446,2013-08-04 00:00:00,5,asian shore crab
447,2013-08-04 00:00:00,10,atlantic silverside
448,2013-08-04 00:00:00,1,striped bass
449,2013-08-17 00:00:00,100+,comb jelly
450,2013-08-17 00:00:00,1,striped bass
451,2013-08-17 00:00:00,1,northern pipefish
452,2013-08-17 00:00:00,2,blue crab
453,2013-08-17 00:00:00,2,shore shrimp
454,2013-09-23 00:00:00,2,atlantic silverside
455,2013-09-23 00:00:00,1,blue crab
456,2013-09-23 00:00:00,2,unidentified shrimp
457,2013-09-23 00:00:00,1,mud crab
458,2013-09-23 00:00:00,50,comb jelly
459,2013-09-28 00:00:00,5,atlantic silverside
460,2014-05-10 00:00:00,9,comb jelly
461,2014-05-10 00:00:00,8,asian shore crab
462,2014-05-10 00:00:00,2,jelly fish
463,2014-06-21 00:00:00,1,atlantic silverside
464,2014-06-21 00:00:00,2,atlantic tomcod
465,2014-06-21 00:00:00,3,shore shrimp
466,2014-06-21 00:00:00,2,unidentified flatfish
467,2014-06-21 00:00:00,Numerous,comb jelly
468,2014-07-12 00:00:00,1,atlantic menhaden
469,2014-07-12 00:00:00,2,alewife
470,2014-07-12 00:00:00,1,grubby
471,2014-07-12 00:00:00,1,windowpane flounder
472,2014-07-12 00:00:00,1,northern pipefish
473,2014-07-12 00:00:00,1,seahorse
474,2014-07-12 00:00:00,5,striped bass
475,2014-07-12 00:00:00,1,sand shrimp
476,2014-07-12 00:00:00,5,sand shrimp
477,2014-07-12 00:00:00,8,comb jelly
478,2014-07-12 00:00:00,1,unidentified hermit crab
479,2014-07-12 00:00:00,3,blue crab
480,2014-07-12 00:00:00,1,asian shore crab
481,2014-08-02 00:00:00,11,atlantic silverside
482,2014-08-02 00:00:00,6,striped bass
483,2014-08-02 00:00:00,1,bluefish
484,2014-08-02 00:00:00,1,northern kingfish
485,2014-08-02 00:00:00,1,green crab
486,2014-08-02 00:00:00,1,blue crab
487,2014-08-02 00:00:00,3,winter flounder
488,2014-08-02 00:00:00,15,comb jelly
489,2014-09-20 00:00:00,10,atlantic silverside
490,2014-09-20 00:00:00,4,comb jelly
491,2014-09-20 00:00:00,3,porgy
492,2014-09-20 00:00:00,23,striped bass
493,2014-09-20 00:00:00,3,asian shore crab
494,2014-09-20 00:00:00,1,winter flounder
495,2014-08-23 00:00:00,,atlantic silverside
496,2014-08-23 00:00:00,,oyster toadfish
497,2014-08-23 00:00:00,,striped bass
498,2014-08-23 00:00:00,,comb jelly
499,2015-05-30 00:00:00,1,striped bass
500,2015-05-30 00:00:00,1,atlantic silverside
501,2015-05-30 00:00:00,2,unidentified sea snail
502,2015-05-30 00:00:00,3,glass shrimp
503,2015-06-09 00:00:00,9,striped bass
504,2015-06-09 00:00:00,1,golden star tunicate
505,2015-06-09 00:00:00,1,blue mussel
506,2015-06-11 00:00:00,1,colonial tunicate
507,2015-06-11 00:00:00,8,striped bass
508,2015-06-11 00:00:00,1,northern pipefish
509,2015-06-11 00:00:00,1,box crab
510,2015-06-11 00:00:00,6,asian shore crab
511,2015-06-14 00:00:00,1,northern pipefish
512,2015-06-14 00:00:00,1,winter flounder
513,2015-06-14 00:00:00,10 to 15,colonial tunicate
514,2015-06-14 00:00:00,4,unidentified hermit crab
515,2015-06-14 00:00:00,4,unidentified snail
516,2015-06-14 00:00:00,5,striped bass
517,2015-06-14 00:00:00,1,cunner
518,2015-06-14 00:00:00,2,lady crab
519,2015-06-14 00:00:00,16,asian shore crab
520,2015-06-14 00:00:00,1,blue crab
521,2015-06-14 00:00:00,1,unidentified sponge
522,2015-06-14 00:00:00,4,hydrozoa
523,2015-06-14 00:00:00,9,sand shrimp
524,2015-07-10 00:00:00,1,summer flounder
525,2015-07-10 00:00:00,23,atlantic silverside
526,2015-07-10 00:00:00,1,winter flounder
527,2015-07-10 00:00:00,1,blue crab
528,2015-07-10 00:00:00,1,box crab
529,2015-07-10 00:00:00,1,northern pipefish
530,2015-07-10 00:00:00,1,sand shrimp
531,2015-07-10 00:00:00,9,alewife
532,2015-07-10 00:00:00,1,comb jelly
533,2015-07-11 00:00:00,2,lady crab
534,2015-07-11 00:00:00,2,blue crab
535,2015-07-11 00:00:00,5,striped bass
536,2015-07-11 00:00:00,1,atlantic herring
537,2015-07-11 00:00:00,2,unidentified hermit crab
538,2015-07-11 00:00:00,12,atlantic silverside
539,2015-07-11 00:00:00,2,sand shrimp
540,2015-07-11 00:00:00,1,winter flounder
541,2015-07-11 00:00:00,,northern pipefish
542,2015-07-11 00:00:00,4,white perch
543,2015-07-11 00:00:00,1,asian shore crab
544,2015-07-11 00:00:00,1,comb jelly
545,2015-07-11 00:00:00,2,unidentified snail
546,2015-07-13 00:00:00,1,blue crab
547,2015-07-13 00:00:00,3,asian shore crab
548,2015-07-13 00:00:00,3,atlantic herring
549,2015-07-13 00:00:00,10,atlantic silverside
550,2015-07-28 00:00:00,40,atlantic silverside
551,2015-07-28 00:00:00,15,striped bass
552,2015-07-28 00:00:00,1,winter flounder
553,2015-07-28 00:00:00,1,isopod
554,2015-07-28 00:00:00,4,comb jelly
555,2015-07-28 00:00:00,1,sand shrimp
556,2015-07-28 00:00:00,4,scud
557,2015-07-28 00:00:00,8,tunicate
558,2015-08-09 00:00:00,140,atlantic silverside
559,2015-08-09 00:00:00,12,striped bass
560,2015-08-09 00:00:00,2,unidentified hermit crab
561,2015-08-09 00:00:00,2,tautog
562,2015-08-09 00:00:00,4,asian shore crab
563,2015-08-09 00:00:00,1,bluefish
564,2015-08-09 00:00:00,2,box crab
565,2015-08-09 00:00:00,20,comb jelly
566,2015-08-09 00:00:00,1,sand shrimp
567,2015-09-12 00:00:00,23,porgy
568,2015-09-12 00:00:00,201,atlantic silverside
569,2015-09-12 00:00:00,2,northern pipefish
570,2015-09-12 00:00:00,1,blue crab
571,2015-09-12 00:00:00,1,shore shrimp
572,2015-09-12 00:00:00,2,winter flounder
573,2015-09-12 00:00:00,1,bluespotted cornetfish
574,2015-09-12 00:00:00,2,comb jelly
575,2015-09-12 00:00:00,2,asian shore crab
576,2015-09-25 00:00:00,73,atlantic silverside
577,2015-09-25 00:00:00,1,blue crab
578,2015-09-25 00:00:00,2,comb jelly
579,2015-09-25 00:00:00,1,bluefish
580,2015-09-25 00:00:00,1,tautog
581,2015-09-25 00:00:00,8,asian shore crab
582,2015-09-25 00:00:00,1,oyster drill snail
583,2015-09-25 00:00:00,5,atlantic menhaden
584,2015-10-15 00:00:00,3,winter flounder
585,2015-10-15 00:00:00,1,tautog
586,2015-10-15 00:00:00,1,striped bass
587,2015-10-15 00:00:00,6,comb jelly
588,2015-10-15 00:00:00,1,shore shrimp
589,2015-10-15 00:00:00,1,sheepshead porgy
590,2015-10-15 00:00:00,8,blue mussel
591,2016-05-26 00:00:00,11,comb jelly
592,2016-05-31 00:00:00,1,northern pipefish
593,2016-05-31 00:00:00,4,atlantic silverside
