Species,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Total Caught,Total Seasons,,Species,Total Caught
alewife,0,0,0,0,0,0,2,9,0,6,17,3,,Total Caught Per Year,6291
american eel,0,0,0,0,2,3,0,0,1,1,7,4,,comb jelly,2336
american shad,0,0,0,0,0,0,0,0,0,1,1,1,,atlantic silverside,1274
amphipod,0,0,3,2,0,0,0,0,40,0,45,3,,sea squirt,197
anemone,0,0,2,0,0,0,0,0,0,0,2,1,,bay anchovy,193
asian shore crab,0,0,4,0,8,13,12,40,44,40,161,7,,striped bass,187
atlantic herring,0,0,0,0,0,0,0,4,0,0,4,1,,unidentified shrimp,171
atlantic menhaden,0,0,0,0,0,0,1,5,66,3,75,4,,asian shore crab,161
atlantic silverside,1,1,13,255,180,72,23,500,193,36,1274,10,,mud snail,142
atlantic tomcod,0,0,1,7,34,0,2,0,3,1,48,6,,moon jelly,133
bay anchovy,1,1,0,150,23,1,0,0,16,1,193,7,,blueback herring,117
black fingered mud crab,0,0,0,0,0,0,0,0,2,0,2,1,,blue crab,107
black sea bass,0,0,0,0,0,1,0,0,21,1,23,3,,unidentified snail,105
blue crab,1,1,10,32,12,4,4,7,14,22,107,10,,unidentified herring,97
blue mussel,0,0,1,0,1,0,0,9,2,0,13,4,,sand shrimp,92
blueback herring,0,0,0,0,2,1,0,0,0,114,117,3,,eastern oyster,90
bluefish,0,0,6,2,3,37,1,2,0,1,52,7,,atlantic menhaden,75
bluespotted cornetfish,0,0,0,0,0,0,0,1,0,0,1,1,,bluefish,52
box crab,0,0,0,0,0,0,0,4,0,0,4,1,,shore shrimp,48
clam worm probably nereis spp,0,0,1,0,0,0,0,0,0,0,1,1,,atlantic tomcod,48
clams,0,0,0,0,0,0,0,0,0,8,8,1,,amphipod,45
colonial tunicate,0,0,0,0,0,0,0,11,0,0,11,1,,tunicate,44
comb jelly,1,1,14,393,170,485,67,36,827,342,2336,10,,northern pipefish,42
ctenophore,0,0,0,0,0,20,0,0,0,0,20,1,,porgy,37
cunner,0,0,0,0,1,0,0,1,5,2,9,4,,winter flounder,34
eastern oyster,0,0,0,17,0,0,0,0,30,43,90,3,,golden star tunicate,33
glass shrimp,0,0,0,0,0,0,0,3,3,1,7,3,,seven spine shrimp,32
golden star tunicate,0,0,0,1,0,1,0,1,30,0,33,4,,green crab,28
green crab,0,1,1,7,8,0,1,0,10,0,28,6,,oyster drill snail,27
grubby,0,0,0,0,0,0,1,0,0,1,2,2,,black sea bass,23
hogchoker,0,0,0,1,0,0,0,0,0,0,1,1,,unidentified hermit crab,21
hydrozoa,0,1,3,5,0,0,0,4,0,0,13,4,,ctenophore,20
isopod,0,0,0,1,0,0,0,1,0,0,2,2,,unidentified flatfish,18
jelly fish,0,0,3,0,0,1,2,0,0,0,6,3,,alewife,17
lady crab,1,0,1,0,0,0,0,4,3,2,11,5,,blue mussel,13
lions mane jellyfish,1,1,2,0,0,0,0,0,0,0,4,3,,hydrozoa,13
mantis shrimp,1,0,0,0,0,0,0,0,0,0,1,1,,oyster toadfish,12
mole crab,0,0,0,0,0,0,0,0,1,0,1,1,,tautog,12
moon jelly,0,0,0,83,1,25,0,0,2,22,133,5,,lady crab,11
mud crab,0,0,0,0,0,2,0,0,2,4,8,3,,mussel,11
mud snail,0,0,0,0,0,0,0,0,110,32,142,2,,colonial tunicate,11
mussel,0,0,0,0,0,0,0,0,10,1,11,2,,cunner,9
naked goby,0,0,0,1,0,0,0,0,1,0,2,2,,silver perch,8
northern kingfish,1,0,1,1,0,0,1,0,3,1,8,6,,clams,8
northern pipefish,1,2,10,5,5,1,1,6,7,4,42,10,,mud crab,8
northern puffer,0,0,4,0,1,0,0,0,0,0,5,2,,northern kingfish,8
northern sea robin,0,0,1,0,0,0,0,0,1,0,2,2,,american eel,7
northern stargazer,0,0,0,0,1,0,0,0,0,0,1,1,,sandworm,7
oyster drill snail,0,0,0,0,0,1,0,1,1,24,27,4,,glass shrimp,7
oyster toadfish,1,0,2,2,2,1,1,0,2,1,12,8,,spotted hake,6
porgy,0,0,0,0,3,0,3,23,8,0,37,4,,jelly fish,6
red beard sponge,0,0,1,0,0,0,0,0,1,0,2,2,,white perch,5
ribbed mussel,0,0,0,0,1,0,0,0,0,0,1,1,,northern puffer,5
sand shrimp,1,1,9,0,0,1,6,14,2,58,92,8,,summer flounder,4
sand worm,0,0,0,1,0,0,0,0,0,0,1,1,,atlantic herring,4
sandworm,0,0,1,0,1,0,0,0,3,2,7,4,,scud,4
scud,0,0,0,0,0,0,0,4,0,0,4,1,,box crab,4
sea robin,0,0,0,0,0,0,0,0,2,0,2,1,,lions mane jellyfish,4
sea squirt,1,1,0,75,88,1,0,0,0,31,197,6,,wrasel sea bass,3
seaboard goby,0,0,0,0,0,0,0,0,1,0,1,1,,spider crab,3
seahorse,0,1,0,0,0,0,1,0,0,0,2,2,,unidentified mussel,3
sennet,0,0,1,0,0,0,0,0,0,0,1,1,,sea robin,2
seven spine shrimp,0,0,0,0,32,0,0,0,0,0,32,1,,northern sea robin,2
sheepshead porgy,0,0,0,0,0,0,0,1,0,0,1,1,,windowpane flounder,2
shore shrimp,1,1,6,0,0,6,3,2,14,15,48,8,,isopod,2
silver perch,0,0,0,0,1,0,0,0,1,6,8,3,,white mullet,2
skillet fish,0,0,0,1,1,0,0,0,0,0,2,2,,western mosquito fish,2
spider crab,0,0,0,1,0,0,0,0,2,0,3,2,,anemone,2
spotted hake,0,0,0,0,6,0,0,0,0,0,6,1,,unidentified sea snail,2
spotted whiff,0,0,0,0,0,0,0,0,0,1,1,1,,black fingered mud crab,2
striped bass,1,1,7,24,3,2,35,56,16,42,187,10,,naked goby,2
striped searobin,1,0,0,0,0,0,0,0,0,0,1,1,,grubby,2
summer flounder,0,0,1,0,0,1,0,1,1,0,4,4,,red beard sponge,2
tautog,0,0,0,0,0,0,0,4,1,7,12,3,,seahorse,2
tube worm,0,0,0,1,0,0,0,0,0,0,1,1,,skillet fish,2
tunicate,0,0,0,0,1,0,0,8,34,1,44,4,,northern stargazer,1
unidentified fish,0,0,0,0,0,0,0,0,1,0,1,1,,unidentified snail eggs,1
unidentified flatfish,0,0,2,6,8,0,2,0,0,0,18,4,,seaboard goby,1
unidentified hermit crab,1,1,2,2,3,1,1,8,1,1,21,10,,american shad,1
unidentified herring,0,0,0,66,8,0,0,0,0,23,97,3,,sennet,1
unidentified jelly fish,0,0,1,0,0,0,0,0,0,0,1,1,,hogchoker,1
unidentified mussel,0,0,0,0,0,0,0,0,1,2,3,2,,white fingered mud crab,1
unidentified sea snail,0,0,0,0,0,0,0,2,0,0,2,1,,whelk snail,1
unidentified shrimp,0,0,1,129,26,3,0,0,12,0,171,5,,sheepshead porgy,1
unidentified snail,0,1,2,73,22,1,0,6,0,0,105,6,,unidentified sponge,1
unidentified snail eggs,0,0,0,0,0,0,0,0,0,1,1,1,,bluespotted cornetfish,1
unidentified sponge,0,0,0,0,0,0,0,1,0,0,1,1,,striped searobin,1
western mosquito fish,0,0,0,0,0,0,0,0,2,0,2,1,,sand worm,1
whelk snail,0,0,0,0,0,0,0,0,1,0,1,1,,ribbed mussel,1
white fingered mud crab,0,0,0,0,1,0,0,0,0,0,1,1,,unidentified jelly fish,1
white mullet,0,0,0,0,2,0,0,0,0,0,2,1,,spotted whiff,1
white perch,0,0,0,1,0,0,0,4,0,0,5,2,,mantis shrimp,1
windowpane flounder,0,0,0,0,0,0,1,0,1,0,2,2,,mole crab,1
winter flounder,1,0,6,0,0,0,4,9,5,9,34,6,,clam worm probably nereis spp,1
wrasel sea bass,0,0,0,0,3,0,0,0,0,0,3,1,,tube worm,1
Total Caught Per Year,17,16,123,1345,664,685,175,792,1560,914,6291,10,,unidentified fish,1
