Corrected Common Name,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total Caught,Total Seasons,,Corrected Common Name,Total Caught
alewife,0,0,0,0,0,0,2,9,0,6,0,0,17,3,,Total Caught Per Year,11144
american eel,0,0,0,0,2,3,0,0,1,1,0,2,9,4,,atlantic silverside,4478
american shad,0,0,0,0,0,0,0,0,0,1,0,0,1,1,,comb jelly,2575
amphipod,0,0,3,2,0,0,0,0,40,0,0,0,45,3,,mud snail,413
anemone,0,0,2,0,0,0,0,0,0,0,0,0,2,1,,bay anchovy,265
asian shore crab,0,0,4,0,8,13,12,43,50,40,30,0,200,8,,atlantic menhaden,244
atlantic herring,0,0,0,0,0,0,0,4,0,0,0,1,5,1,,striped bass,219
atlantic menhaden,0,0,0,0,0,0,1,5,70,3,53,112,244,5,,unidentified shrimp,216
atlantic silverside,1,1,13,255,180,74,42,1030,250,37,477,2118,4478,11,,asian shore crab,200
atlantic tomcod,0,0,1,7,34,0,2,0,3,1,10,44,102,7,,sea squirt,197
bay anchovy,1,1,0,150,23,1,0,0,16,1,4,68,265,8,,shore shrimp,180
black fingered mud crab,0,0,0,0,0,0,0,0,2,0,0,0,2,1,,moon jelly,157
black sea bass,0,0,0,0,0,1,0,0,21,1,0,0,23,3,,blue crab,140
blue crab,1,1,10,32,12,4,4,7,16,22,16,15,140,11,,sand shrimp,132
blue mussel,0,0,1,0,1,0,0,9,2,0,10,2,25,5,,blueback herring,118
blueback herring,0,0,0,0,2,1,0,0,0,114,0,1,118,3,,unidentified herring,109
bluefish,0,0,6,2,3,37,1,5,0,1,11,28,94,8,,unidentified snail,105
bluespotted cornetfish,0,0,0,0,0,0,0,1,0,0,0,0,1,1,,atlantic tomcod,102
box crab,0,0,0,0,0,0,0,4,0,0,0,0,4,1,,bluefish,94
clam,0,0,0,0,0,0,0,0,1,8,1,11,21,3,,eastern oyster,90
clam worm probably nereis spp,0,0,1,0,0,0,0,0,0,0,0,0,1,1,,silver perch,72
colonial tunicate,0,0,0,0,0,0,0,11,0,0,0,0,11,1,,northern pipefish,68
comb jelly,1,1,14,393,170,485,86,58,887,347,123,10,2575,11,,porgy,65
comb jelly beroe,0,0,0,0,0,0,0,0,0,0,0,6,6,0,,long clawed hermit crab,51
comb jelly leidyi,0,0,0,0,0,0,0,0,0,0,0,21,21,0,,amphipod,45
ctenophore,0,0,0,0,0,20,0,0,0,0,0,0,20,1,,tunicate,44
cunner,0,0,0,0,1,0,0,1,6,2,0,1,11,4,,winter flounder,41
eastern oyster,0,0,0,17,0,0,0,0,30,43,0,0,90,3,,grass shrimp shore shrimp,37
glass shrimp,0,0,0,0,0,0,0,3,3,0,0,0,6,2,,periwinkle,33
golden star tunicate,0,0,0,1,0,1,0,1,30,0,0,0,33,4,,golden star tunicate,33
grass shrimp shore shrimp,0,0,0,0,0,0,0,0,0,1,0,36,37,1,,seven spine shrimp,32
green crab,0,1,1,7,8,0,1,0,10,0,2,0,30,7,,unidentified hermit crab,31
grubby,0,0,0,0,0,0,1,0,0,0,0,0,1,1,,green crab,30
hogchoker,0,0,0,1,0,0,0,0,0,0,0,0,1,1,,hydromedusa,29
horseshoe crab,0,0,0,0,0,0,0,0,0,0,2,7,9,1,,tautog,29
hydromedusa,0,0,3,4,0,0,0,4,0,0,0,18,29,3,,oyster drill snail,27
hydromedusamoon jelly,0,0,0,0,0,0,0,0,0,0,0,5,5,0,,blue mussel,25
hydrozoa,0,1,0,1,0,0,0,0,0,0,0,0,2,2,,black sea bass,23
isopod,0,0,0,1,0,0,0,1,0,0,0,2,4,2,,comb jelly leidyi,21
jelly fish,0,0,3,0,0,1,2,0,0,0,0,0,6,3,,clam,21
