,Species,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,alewife,No,No,No,No,No,No,Yes,Yes,No,Yes
1,american eel,No,No,No,No,Yes,Yes,No,No,Yes,Yes
2,american shad,No,No,No,No,No,No,No,No,No,Yes
3,amphipod,No,No,Yes,Yes,No,No,No,No,Yes,No
4,anchovy,Yes,No,No,Yes,Yes,No,No,No,No,No
5,anemone,No,No,Yes,No,No,No,No,No,No,No
6,asian shore crab,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
7,atlantic herring,No,No,No,No,No,No,No,Yes,No,No
8,atlantic menhaden,No,No,No,No,No,No,No,No,Yes,Yes
9,atlantic silverside,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
10,atlantic tomcod,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes
11,bay anchovy,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes
12,black fingered mud crab,No,No,No,No,No,No,No,No,Yes,No
13,black sea bass,No,No,No,No,No,Yes,No,No,Yes,Yes
14,blue back,No,No,No,No,Yes,No,No,No,No,No
15,blue crab,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
16,blue mussel,No,No,Yes,No,Yes,No,No,Yes,Yes,No
17,blueback herring,No,No,No,No,No,Yes,No,No,No,Yes
18,bluefish,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
19,bluespotted cornetfish,No,No,No,No,No,No,No,Yes,No,No
20,box crab,No,No,No,No,No,No,No,Yes,No,No
21,clam worm probably nereis spp,No,No,Yes,No,No,No,No,No,No,No
22,clams,No,No,No,No,No,No,No,No,No,Yes
23,colonial tunicate,No,No,No,No,No,No,No,Yes,No,No
24,comb jelly,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
25,ctenophore,No,No,No,No,No,Yes,No,No,No,No
26,cunner,No,No,No,No,Yes,No,No,Yes,Yes,Yes
27,decoration crab,No,No,No,Yes,No,No,No,No,No,No
28,eastern oyster,No,No,No,No,No,No,No,No,Yes,No
29,flatfish,No,No,No,Yes,No,No,No,No,No,No
30,flounder,No,No,Yes,Yes,Yes,No,Yes,No,No,No
31,flounder righteye,No,No,No,No,No,No,No,Yes,No,No
32,glass shrimp,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes
33,golden star tunicate,No,No,No,Yes,No,Yes,No,Yes,Yes,No
