Corrected Common Name,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total Caught,Total Seasons,,Corrected Common Name,Total Caught
alewife,0,0,0,0,0,0,2,9,0,6,0,0,17,3,,Total Caught Per Year,10371
american eel,0,0,0,0,2,3,0,0,1,1,0,2,9,4,,atlantic silverside,3795
american shad,0,0,0,0,0,0,0,0,0,1,0,0,1,1,,comb jelly,2570
amphipod,0,0,3,2,0,0,0,0,40,0,0,0,45,3,,mud snail,408
anemone,0,0,2,0,0,0,0,0,0,0,0,0,2,1,,bay anchovy,265
asian shore crab,0,0,4,0,8,13,12,43,50,40,30,0,200,8,,atlantic menhaden,236
atlantic herring,0,0,0,0,0,0,0,4,0,0,0,1,5,1,,striped bass,219
atlantic menhaden,0,0,0,0,0,0,1,5,70,3,53,104,236,5,,unidentified shrimp,215
atlantic silverside,1,1,13,255,180,74,42,1030,250,37,477,1435,3795,11,,asian shore crab,200
atlantic tomcod,0,0,1,7,34,0,2,0,3,1,10,44,102,7,,sea squirt,197
bay anchovy,1,1,0,150,23,1,0,0,16,1,4,68,265,8,,shore shrimp,180
black fingered mud crab,0,0,0,0,0,0,0,0,2,0,0,0,2,1,,moon jelly,175
black sea bass,0,0,0,0,0,1,0,0,21,1,0,0,23,3,,blue crab,139
blue crab,1,1,10,32,12,4,4,7,16,22,16,14,139,11,,sand shrimp,132
blue mussel,0,0,1,0,1,0,0,9,2,0,10,2,25,5,,blueback herring,118
blueback herring,0,0,0,0,2,1,0,0,0,114,0,1,118,3,,unidentified herring,109
bluefish,0,0,6,2,3,37,1,5,0,1,11,28,94,8,,unidentified snail,105
bluespotted cornetfish,0,0,0,0,0,0,0,1,0,0,0,0,1,1,,atlantic tomcod,102
box crab,0,0,0,0,0,0,0,4,0,0,0,0,4,1,,bluefish,94
clam,0,0,0,0,0,0,0,0,1,8,1,11,21,3,,eastern oyster,90
clam worm probably nereis spp,0,0,1,0,0,0,0,0,0,0,0,0,1,1,,silver perch,72
colonial tunicate,0,0,0,0,0,0,0,11,0,0,0,0,11,1,,northern pipefish,65
comb jelly,1,1,14,393,170,485,86,58,887,347,123,5,2570,11,,porgy,64
ctenophore,0,0,0,0,0,20,0,0,0,0,0,0,20,1,,amphipod,45
cunner,0,0,0,0,1,0,0,1,6,2,0,1,11,4,,tunicate,44
eastern oyster,0,0,0,17,0,0,0,0,30,43,0,0,90,3,,long clawed hermit crab,40
glass shrimp,0,0,0,0,0,0,0,3,3,0,0,0,6,2,,winter flounder,40
golden star tunicate,0,0,0,1,0,1,0,1,30,0,0,0,33,4,,grass shrimp shore shrimp,37
grass shrimp shore shrimp,0,0,0,0,0,0,0,0,0,1,0,36,37,1,,golden star tunicate,33
green crab,0,1,1,7,8,0,1,0,10,0,2,0,30,7,,periwinkle,33
grubby,0,0,0,0,0,0,1,0,0,0,0,0,1,1,,seven spine shrimp,32
hogchoker,0,0,0,1,0,0,0,0,0,0,0,0,1,1,,unidentified hermit crab,31
horseshoe crab,0,0,0,0,0,0,0,0,0,0,2,7,9,1,,green crab,30
hydrozoa,0,1,3,5,0,0,0,4,0,0,0,0,13,4,,oyster drill snail,27
isopod,0,0,0,1,0,0,0,1,0,0,0,2,4,2,,tautog,26
jelly fish,0,0,3,0,0,1,2,0,0,0,0,0,6,3,,blue mussel,25
lady crab,1,0,1,0,0,0,0,4,3,2,0,0,11,5,,black sea bass,23
lions mane jellyfish,1,1,2,0,0,0,0,0,0,0,0,0,4,3,,clam,21
long clawed hermit crab,0,0,0,0,0,0,0,0,0,0,28,12,40,1,,ctenophore,20
mantis shrimp,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,unidentified flatfish,20
mole crab,0,0,0,0,0,0,0,0,1,0,0,0,1,1,,ribbed mussel,18
moon jelly,0,0,0,83,1,25,0,0,3,22,20,21,175,6,,alewife,17
mud crab,0,0,0,0,0,2,0,0,2,4,0,0,8,3,,skilletfish,14
mud snail,0,0,0,0,0,0,0,0,111,32,38,227,408,3,,oyster toadfish,14
