,Date,Number Caught,Species
3,2008-09-13 00:00:00,,sea squirt
4,2008-09-13 00:00:00,,shore shrimp
5,2008-09-13 00:00:00,,mantis shrimp
6,2008-09-13 00:00:00,,sand shrimp
7,2008-09-13 00:00:00,,hermit crab
8,2008-09-13 00:00:00,,oyster toadfish
9,2008-09-13 00:00:00,,striped bass
10,2008-09-13 00:00:00,,northern kingfish
11,2008-09-13 00:00:00,,northern pipefish
12,2008-09-13 00:00:00,,striped searobin
13,2008-09-13 00:00:00,,Atlantic silverside
14,2008-09-13 00:00:00,,anchovy
15,2008-09-13 00:00:00,,blue crab
16,2008-09-13 00:00:00,,lady crab
17,2008-09-13 00:00:00,,winter flounder
18,2008-09-13 00:00:00,,comb jelly
19,2008-09-13 00:00:00,,lion's mane jellyfish
2,2009-06-20 00:00:00,,Species caught
3,2009-06-20 00:00:00,,bay anchovy
4,2009-06-20 00:00:00,,northern pipefish
5,2009-06-20 00:00:00,,striped bass
6,2009-06-20 00:00:00,,shore shrimp
7,2009-06-20 00:00:00,,sand shrimp
8,2009-06-20 00:00:00,,sea squirts
9,2009-06-20 00:00:00,,blue crab
10,2009-06-20 00:00:00,,comb jelly
11,2009-06-20 00:00:00,,hydroids
12,2009-06-20 00:00:00,,"hermit crab,"
13,2009-06-20 00:00:00,,snails
14,2009-06-20 00:00:00,,Two hemigrapsis molts were found on the beach.
18,2009-09-23 00:00:00,,Lion's mane Jellyfish (Cyanea capillata)
19,2009-09-23 00:00:00,,Green Crab (Carcinus maenas)
20,2009-09-23 00:00:00,,Atlantic Silverside (Menidia menidia)
21,2009-09-23 00:00:00,,Sea Horse (Hippocampus)
22,2009-09-23 00:00:00,,Pipefish (Syngnathinae)
2,2010-06-12 00:00:00,,Atlantic silverside
3,2010-06-12 00:00:00,,Atlantic tomcod
4,2010-06-12 00:00:00,,blue crab
5,2010-06-12 00:00:00,,bluefish
6,2010-06-12 00:00:00,,comb jellies
7,2010-06-12 00:00:00,,northern pipefish
8,2010-06-12 00:00:00,,red (lion's mane) jellyfish
9,2010-06-12 00:00:00,,shore shrimp
10,2010-06-12 00:00:00,,winter flounder
12,2010-06-26 00:00:00,,Comb jellies (ctenophores)
13,2010-06-26 00:00:00,,true jellies
14,2010-06-26 00:00:00,,atlantic silverside
15,2010-06-26 00:00:00,,pipefish
16,2010-06-26 00:00:00,,glass shrimp
18,2010-07-07 00:00:00,,Atlantic silverslide
19,2010-07-07 00:00:00,,Comb jellies
21,2010-07-08 00:00:00,,sand shrimp
22,2010-07-08 00:00:00,,shore shrimp
23,2010-07-08 00:00:00,,winter flounder
24,2010-07-08 00:00:00,,striped bass
25,2010-07-08 00:00:00,,northern pipefish
26,2010-07-08 00:00:00,,blue crab
27,2010-07-08 00:00:00,,comb jellies
29,2010-07-09 00:00:00,,sand shrimp
30,2010-07-09 00:00:00,,striped bass
31,2010-07-09 00:00:00,,the cutest northern puffer ever!
32,2010-07-09 00:00:00,,northern pipefish
33,2010-07-09 00:00:00,,lady crab
34,2010-07-09 00:00:00,,winter flounder
35,2010-07-09 00:00:00,,Atlantic silverside
36,2010-07-09 00:00:00,,summer flounder
37,2010-07-09 00:00:00,,amphipod
38,2010-07-09 00:00:00,,hydromedusae
39,2010-07-09 00:00:00,,comb jellies
41,2010-07-10 00:00:00,,winter flounder
42,2010-07-10 00:00:00,,blue crab
43,2010-07-10 00:00:00,,sand shrimp
44,2010-07-10 00:00:00,,striped bass
45,2010-07-10 00:00:00,,Atlantic silverside
46,2010-07-10 00:00:00,,bluefish
47,2010-07-10 00:00:00,,comb jellies
48,2010-07-10 00:00:00,,northern pipefish
49,2010-07-10 00:00:00,,hydromedusae
50,2010-07-10 00:00:00,,amphipod
52,2010-07-20 00:00:00,,Atlantic Silversides
53,2010-07-20 00:00:00,,Blue Crab
54,2010-07-20 00:00:00,,Sand Shrimp
55,2010-07-20 00:00:00,,Ctenophore
56,2010-07-20 00:00:00,,Shore Shrimp
57,2010-07-20 00:00:00,,true jelly
58,2010-07-20 00:00:00,,comb jelly
59,2010-07-20 00:00:00,,snails
60,2010-07-20 00:00:00,,blue fish
62,2010-07-21 00:00:00,,Atlantic silverside
63,2010-07-21 00:00:00,,blue crab
64,2010-07-21 00:00:00,,comb jellies
65,2010-07-21 00:00:00,,true jellies
66,2010-07-21 00:00:00,,lion's mane jellyfish
67,2010-07-21 00:00:00,,sand shrimp
68,2010-07-21 00:00:00,,shore shrimp
69,2010-07-21 00:00:00,,snails
70,2010-07-21 00:00:00,,blue fish
71,2010-07-21 00:00:00,,flounder
72,2010-07-21 00:00:00,,northern pipefish
73,2010-07-21 00:00:00,,sea robin
74,2010-07-21 00:00:00,,oyster toad fish
76,2010-07-22 00:00:00,,blue crabs
77,2010-07-22 00:00:00,,amphipods
78,2010-07-22 00:00:00,,clam worm (probably Nereis spp.)
79,2010-07-22 00:00:00,,hermit crab
80,2010-07-22 00:00:00,,sand shrimp
81,2010-07-22 00:00:00,,shore shrimp
82,2010-07-22 00:00:00,,comb jellies
83,2010-07-22 00:00:00,,hydromedusae
84,2010-07-22 00:00:00,,Atlantic silversides
85,2010-07-22 00:00:00,,winter flounder
86,2010-07-22 00:00:00,,norther pipefish
87,2010-07-22 00:00:00,,norther puffer
88,2010-07-22 00:00:00,,striped bass
90,2010-07-24 00:00:00,,northern kingfish
91,2010-07-24 00:00:00,,winter flounder
92,2010-07-24 00:00:00,,northern puffer
93,2010-07-24 00:00:00,,northern pipefish
94,2010-07-24 00:00:00,,striped bass
95,2010-07-24 00:00:00,,bluefish
96,2010-07-24 00:00:00,,Atlantic silverside
97,2010-07-24 00:00:00,,comb jellies
98,2010-07-24 00:00:00,,sand shrimp
99,2010-07-24 00:00:00,,blue crabs
100,2010-07-24 00:00:00,,sennet
108,2010-08-10 00:00:00,,Blue crabs
109,2010-08-10 00:00:00,,puffer
110,2010-08-10 00:00:00,,hermit crab
111,2010-08-10 00:00:00,,sand shrimp
112,2010-08-10 00:00:00,,shore shrimp
113,2010-08-10 00:00:00,,Asian shore crab
114,2010-08-10 00:00:00,,juvenille stripped bass
115,2010-08-10 00:00:00,,silversides
116,2010-08-10 00:00:00,,flounder
121,2010-09-18 00:00:00,,silversides
122,2010-09-18 00:00:00,,oyster toad fish
123,2010-09-18 00:00:00,,anemone
124,2010-09-18 00:00:00,,comb jellies
125,2010-09-18 00:00:00,,asian shore crab
126,2010-09-18 00:00:00,,blue crab
127,2010-09-18 00:00:00,,pipefish
128,2010-09-18 00:00:00,,blue fish
129,2010-09-18 00:00:00,,2 stripped bass
131,2010-09-21 00:00:00,,silversides
132,2010-09-21 00:00:00,,pipefish
133,2010-09-21 00:00:00,,sand worm
134,2010-09-21 00:00:00,,anemone
135,2010-09-21 00:00:00,,shrimp
136,2010-09-21 00:00:00,,comb jelly
137,2010-09-21 00:00:00,,green crab
138,2010-09-21 00:00:00,,blue crab
139,2010-09-21 00:00:00,,asian shore crab
141,2010-10-14 00:00:00,,Silverside
142,2010-10-14 00:00:00,,comb jelly
143,2010-10-14 00:00:00,,red bearded sponge
144,2010-10-14 00:00:00,,blue muscle
145,2010-10-14 00:00:00,,asian shore crab
146,2010-10-14 00:00:00,,jelly fish
2,2011-05-10 00:00:00,2,amphipod
4,2011-05-10 00:00:00,6,Atlantic Silverside
5,2011-05-10 00:00:00,1,Atlantic tomcod
10,2011-05-10 00:00:00,2,comb jellies
22,2011-05-10 00:00:00,2,moon jelly
32,2011-05-10 00:00:00,3,snail
3,2011-05-14 00:00:00,3,anchovy
4,2011-05-14 00:00:00,27,Atlantic Silverside
7,2011-05-14 00:00:00,9,blue crab
10,2011-05-14 00:00:00,1,comb jellies
13,2011-05-14 00:00:00,2,flounder
16,2011-05-14 00:00:00,1,hermit crab
17,2011-05-14 00:00:00,6,herring
21,2011-05-14 00:00:00,1,isopod
25,2011-05-14 00:00:00,2,northern pipefish
31,2011-05-14 00:00:00,68,shrimp (shore and mud)
33,2011-05-14 00:00:00,4,striped bass
3,2011-05-20 00:00:00,36,anchovy
5,2011-05-20 00:00:00,4,Atlantic tomcod
9,2011-05-20 00:00:00,45,ctenophore
15,2011-05-20 00:00:00,1,green crab
17,2011-05-20 00:00:00,2,herring
31,2011-05-20 00:00:00,2,shrimp (shore and mud)
33,2011-05-20 00:00:00,1,striped bass
3,2011-05-28 00:00:00,73,anchovy
7,2011-05-28 00:00:00,1,blue crab
10,2011-05-28 00:00:00,2,comb jellies
17,2011-05-28 00:00:00,3,herring
31,2011-05-28 00:00:00,1,shrimp (shore and mud)
33,2011-05-28 00:00:00,1,striped bass
3,2011-06-11 00:00:00,20,anchovy
5,2011-06-11 00:00:00,1,Atlantic tomcod
7,2011-06-11 00:00:00,6,blue crab
10,2011-06-11 00:00:00,9,comb jellies
12,2011-06-11 00:00:00,1,flatfish
17,2011-06-11 00:00:00,1,herring
25,2011-06-11 00:00:00,1,northern pipefish
31,2011-06-11 00:00:00,37,shrimp (shore and mud)
3,2011-06-14 00:00:00,2,anchovy
4,2011-06-14 00:00:00,2,Atlantic Silverside
5,2011-06-14 00:00:00,1,Atlantic tomcod
7,2011-06-14 00:00:00,2,blue crab
10,2011-06-14 00:00:00,2,comb jellies
14,2011-06-14 00:00:00,1,golden star tunicate
17,2011-06-14 00:00:00,1,herring
25,2011-06-14 00:00:00,1,northern pipefish
26,2011-06-14 00:00:00,4,oyster
31,2011-06-14 00:00:00,5,shrimp (shore and mud)
32,2011-06-14 00:00:00,2,snail
3,2011-06-26 00:00:00,1,anchovy
4,2011-06-26 00:00:00,8,Atlantic Silverside
7,2011-06-26 00:00:00,1,blue crab
8,2011-06-26 00:00:00,2,blue fish
10,2011-06-26 00:00:00,12,comb jellies
13,2011-06-26 00:00:00,1,flounder
17,2011-06-26 00:00:00,3,herring
31,2011-06-26 00:00:00,3,shrimp (shore and mud)
32,2011-06-26 00:00:00,1,snail
3,2011-07-10 00:00:00,5,anchovy
4,2011-07-10 00:00:00,18,Atlantic Silverside
10,2011-07-10 00:00:00,60,comb jellies
15,2011-07-10 00:00:00,1,green crab
19,2011-07-10 00:00:00,1,hydroid
22,2011-07-10 00:00:00,30,moon jelly
29,2011-07-10 00:00:00,1,poly worm
30,2011-07-10 00:00:00,15,sea squirt
31,2011-07-10 00:00:00,10,shrimp (shore and mud)
32,2011-07-10 00:00:00,4,snail
33,2011-07-10 00:00:00,1,striped bass
34,2011-07-10 00:00:00,1,tube worm
4,2011-07-11 00:00:00,5,Atlantic Silverside
7,2011-07-11 00:00:00,1,blue crab
10,2011-07-11 00:00:00,20,comb jellies
18,2011-07-11 00:00:00,1,hogchoker
4,2011-07-12 00:00:00,5,Atlantic Silverside
7,2011-07-12 00:00:00,2,blue crab
10,2011-07-12 00:00:00,40,comb jellies
11,2011-07-12 00:00:00,1,decoration crab
22,2011-07-12 00:00:00,5,moon jelly
30,2011-07-12 00:00:00,10,sea squirt
32,2011-07-12 00:00:00,10,snail
4,2011-07-13 00:00:00,3,Atlantic Silverside
