,Date,Time,Weather & Air Temp:,Water Temp:,Tide Times,Tide is moving,DO,pH,Salinity,Turbidity,# student seiners (CLASSES ONLY),# of visitors (Public Seine ONLY),Instructors/ Seine Staff:,# Hauls,Scientific Name,Common Name,Quantity,# Brought to Ed Center,"Other info (Gender, Length, Dead/Alive, other physical description)",NOTES FROM SEINEING SEASON:,Water Temp Probe,DO Probe,pH Probe,Salinity Probe,Turbidity (cm),Turbidity Probe (NTU),NOTES FROM SEINE:
0,2008-05-14,,,,,,,,,,,,,,,striped bass,,,,,,,,,,,
1,2008-06-14,,,,,,,,,,,,,,,striped bass,,,,,,,,,,,
2,2008-06-14,,,,,,,,,,,,,,,atlantic tomcod,,,,,,,,,,,
3,2008-06-14,,,,,,,,,,,,,,,winter flounder,,,,,,,,,,,
4,2008-06-14,,,,,,,,,,,,,,,bay anchovies,,,,,,,,,,,
5,2008-06-14,,,,,,,,,,,,,,,shrimp,,,,,,,,,,,
6,2008-06-14,,,,,,,,,,,,,,,comb jelly,,,,,,,,,,,
7,2008-06-14,,,,,,,,,,,,,,,lion's mane jellyfish,,,,,,,,,,,
8,2008-06-14,,,,,,,,,,,,,,,amphipod,,,,,,,,,,,
9,2008-06-14,,,,,,,,,,,,,,,green crab,,,,,,,,,,,
10,2008-07-24,,,,,,,,,,,,,,,atlantic tomcod,,,,,,,,,,,
11,2008-07-24,,,,,,,,,,,,,,,winter flounder,,,,,,,,,,,
12,2008-07-24,,,,,,,,,,,,,,,northern pipefish,,,,,,,,,,,
13,2008-07-24,,,,,,,,,,,,,,,bluefish,,,,,,,,,,,
14,2008-07-24,,,,,,,,,,,,,,,atlantic silverside,,,,,,,,,,,
15,2008-07-24,,,,,,,,,,,,,,,shrimp,,,,,,,,,,,
16,2008-07-24,,,,,,,,,,,,,,,comb jelly,,,,,,,,,,,
17,2008-07-24,,,,,,,,,,,,,,,moon jelly,,,,,,,,,,,
18,2008-07-24,,,,,,,,,,,,,,,lion's mane jellyfish,,,,,,,,,,,
19,2008-07-24,,,,,,,,,,,,,,,blue crab,,,,,,,,,,,
20,2008-07-24,,,,,,,,,,,,,,,lady crab,,,,,,,,,,,
21,2008-09-13,,,,,,,,,,,,,,,sea squirt,,,,,,,,,,,
22,2008-09-13,,,,,,,,,,,,,,,shore shrimp,,,,,,,,,,,
23,2008-09-13,,,,,,,,,,,,,,,mantis shrimp,,,,,,,,,,,
24,2008-09-13,,,,,,,,,,,,,,,sand shrimp,,,,,,,,,,,
25,2008-09-13,,,,,,,,,,,,,,,hermit crab,,,,,,,,,,,
26,2008-09-13,,,,,,,,,,,,,,,oyster toadfish,,,,,,,,,,,
27,2008-09-13,,,,,,,,,,,,,,,striped bass,,,,,,,,,,,
28,2008-09-13,,,,,,,,,,,,,,,northern kingfish,,,,,,,,,,,
29,2008-09-13,,,,,,,,,,,,,,,northern pipefish,,,,,,,,,,,
30,2008-09-13,,,,,,,,,,,,,,,striped searobin,,,,,,,,,,,
31,2008-09-13,,,,,,,,,,,,,,,Atlantic silverside,,,,,,,,,,,
32,2008-09-13,,,,,,,,,,,,,,,anchovy,,,,,,,,,,,
33,2008-09-13,,,,,,,,,,,,,,,blue crab,,,,,,,,,,,
34,2008-09-13,,,,,,,,,,,,,,,lady crab,,,,,,,,,,,
35,2008-09-13,,,,,,,,,,,,,,,winter flounder,,,,,,,,,,,
36,2008-09-13,,,,,,,,,,,,,,,comb jelly,,,,,,,,,,,
37,2008-09-13,,,,,,,,,,,,,,,lion's mane jellyfish,,,,,,,,,,,
38,2009-06-09,,,,,,,,,,,,,,,bay anchovy,,,,,,,,,,,
39,2009-06-09,,,,,,,,,,,,,,,naked goby,,,,,,,,,,,
40,2009-06-09,,,,,,,,,,,,,,,winter flounder,,,,,,,,,,,
41,2009-06-09,,,,,,,,,,,,,,,windowpane flounder,,,,,,,,,,,
42,2009-06-09,,,,,,,,,,,,,,,northern pipefish,,,,,,,,,,,
43,2009-06-09,,,,,,,,,,,,,,,sand shrimp,,,,,,,,,,,
44,2009-06-09,,,,,,,,,,,,,,,hermit crab,,,,,,,,,,,
45,2009-06-20,,,,,,,,,,,,,,,bay anchovy,,,,,,,,,,,
46,2009-06-20,,,,,,,,,,,,,,,northern pipefish,,,,,,,,,,,
47,2009-06-20,,,,,,,,,,,,,,,striped bass,,,,,,,,,,,
48,2009-06-20,,,,,,,,,,,,,,,shore shrimp,,,,,,,,,,,
49,2009-06-20,,,,,,,,,,,,,,,sand shrimp,,,,,,,,,,,
50,2009-06-20,,,,,,,,,,,,,,,sea squirts,,,,,,,,,,,
51,2009-06-20,,,,,,,,,,,,,,,blue crab,,,,,,,,,,,
52,2009-06-20,,,,,,,,,,,,,,,comb jelly,,,,,,,,,,,
53,2009-06-20,,,,,,,,,,,,,,,hydroids,,,,,,,,,,,
54,2009-06-20,,,,,,,,,,,,,,,"hermit crab,",,,,,,,,,,,
55,2009-06-20,,,,,,,,,,,,,,,snails,,,,,,,,,,,
56,2009-06-20,,,,,,,,,,,,,,,Two hemigrapsis molts were found on the beach.,,,,,,,,,,,
57,2009-07-17,,,,,,,,,,,,,,,herring,,,,,,,,,,,
58,2009-07-17,,,,,,,,,,,,,,,striped bass,,,,,,,,,,,
59,2009-07-17,,,,,,,,,,,,,,,northern pipefish,,,,,,,,,,,
60,2009-07-17,,,,,,,,,,,,,,,atlantic silverside,,,,,,,,,,,
61,2009-07-17,,,,,,,,,,,,,,,winter flounder,,,,,,,,,,,
62,2009-07-17,,,,,,,,,,,,,,,comb jelly,,,,,,,,,,,
63,2009-07-17,,,,,,,,,,,,,,,shore shrimp,,,,,,,,,,,
64,2009-07-17,,,,,,,,,,,,,,,snails,,,,,,,,,,,
65,2009-07-17,,,,,,,,,,,,,,,green crab,,,,,,,,,,,
66,2009-07-17,,,,,,,,,,,,,,,lined seahorse,,,,,,,,,,,
67,2009-07-18,,,,,,,,,,,,,,,shore shrimp,,,,,,,,,,,
68,2009-07-18,,,,,,,,,,,,,,,sand shrimp,,,,,,,,,,,
69,2009-07-18,,,,,,,,,,,,,,,snails,,,,,,,,,,,
70,2009-07-18,,,,,,,,,,,,,,,comb jelly,,,,,,,,,,,
71,2009-07-18,,,,,,,,,,,,,,,atlantic silverside,,,,,,,,,,,
