,Date,Number Caught,Species
0,2008-09-13 00:00:00,,tunicates
1,2008-09-13 00:00:00,,shrimp
2,2008-09-13 00:00:00,,shrimp
3,2008-09-13 00:00:00,,shrimp
4,2008-09-13 00:00:00,,hermit crab
5,2008-09-13 00:00:00,,oyster toadfish
6,2008-09-13 00:00:00,,striped bass
7,2008-09-13 00:00:00,,northern kingfish
8,2008-09-13 00:00:00,,pipefish
9,2008-09-13 00:00:00,,sea robin
10,2008-09-13 00:00:00,,silverside
11,2008-09-13 00:00:00,,anchovy
12,2008-09-13 00:00:00,,blue crab
13,2008-09-13 00:00:00,,lady crab
14,2008-09-13 00:00:00,,flatfish
15,2008-09-13 00:00:00,,comb jelly
16,2008-09-13 00:00:00,,jellyfish
18,2009-06-20 00:00:00,,anchovy
19,2009-06-20 00:00:00,,pipefish
20,2009-06-20 00:00:00,,striped bass
21,2009-06-20 00:00:00,,shrimp
22,2009-06-20 00:00:00,,shrimp
23,2009-06-20 00:00:00,,tunicates
24,2009-06-20 00:00:00,,blue crab
25,2009-06-20 00:00:00,,comb jelly
26,2009-06-20 00:00:00,,hydroid
27,2009-06-20 00:00:00,,hermit crab
28,2009-06-20 00:00:00,,snail
30,2009-09-23 00:00:00,,jellyfish
31,2009-09-23 00:00:00,,green crab
32,2009-09-23 00:00:00,,silverside
33,2009-09-23 00:00:00,,seahorse
34,2009-09-23 00:00:00,,pipefish
35,2010-06-12 00:00:00,,silverside
36,2010-06-12 00:00:00,,atlantic tomcod
37,2010-06-12 00:00:00,,blue crab
38,2010-06-12 00:00:00,,bluefish
39,2010-06-12 00:00:00,,comb jelly
40,2010-06-12 00:00:00,,pipefish
41,2010-06-12 00:00:00,,jellyfish
42,2010-06-12 00:00:00,,shrimp
43,2010-06-12 00:00:00,,flatfish
44,2010-06-26 00:00:00,,comb jelly
45,2010-06-26 00:00:00,,jellyfish
46,2010-06-26 00:00:00,,silverside
47,2010-06-26 00:00:00,,pipefish
48,2010-06-26 00:00:00,,shrimp
49,2010-07-07 00:00:00,,silverside
50,2010-07-07 00:00:00,,comb jelly
51,2010-07-08 00:00:00,,shrimp
52,2010-07-08 00:00:00,,shrimp
53,2010-07-08 00:00:00,,flatfish
54,2010-07-08 00:00:00,,striped bass
55,2010-07-08 00:00:00,,pipefish
56,2010-07-08 00:00:00,,blue crab
57,2010-07-08 00:00:00,,comb jelly
58,2010-07-09 00:00:00,,shrimp
59,2010-07-09 00:00:00,,striped bass
60,2010-07-09 00:00:00,,puffer
61,2010-07-09 00:00:00,,pipefish
62,2010-07-09 00:00:00,,lady crab
63,2010-07-09 00:00:00,,flatfish
64,2010-07-09 00:00:00,,silverside
65,2010-07-09 00:00:00,,flatfish
66,2010-07-09 00:00:00,,amphipod
67,2010-07-09 00:00:00,,hydromedusae
68,2010-07-09 00:00:00,,comb jelly
69,2010-07-10 00:00:00,,flatfish
70,2010-07-10 00:00:00,,blue crab
71,2010-07-10 00:00:00,,shrimp
72,2010-07-10 00:00:00,,striped bass
73,2010-07-10 00:00:00,,silverside
74,2010-07-10 00:00:00,,bluefish
75,2010-07-10 00:00:00,,comb jelly
76,2010-07-10 00:00:00,,pipefish
77,2010-07-10 00:00:00,,hydromedusae
78,2010-07-10 00:00:00,,amphipod
79,2010-07-20 00:00:00,,silverside
80,2010-07-20 00:00:00,,blue crab
81,2010-07-20 00:00:00,,shrimp
82,2010-07-20 00:00:00,,comb jelly
83,2010-07-20 00:00:00,,shrimp
84,2010-07-20 00:00:00,,jellyfish
85,2010-07-20 00:00:00,,comb jelly
86,2010-07-20 00:00:00,,snail
87,2010-07-20 00:00:00,,bluefish
88,2010-07-21 00:00:00,,silverside
89,2010-07-21 00:00:00,,blue crab
90,2010-07-21 00:00:00,,comb jelly
91,2010-07-21 00:00:00,,jellyfish
92,2010-07-21 00:00:00,,jellyfish
93,2010-07-21 00:00:00,,shrimp
94,2010-07-21 00:00:00,,shrimp
95,2010-07-21 00:00:00,,snail
96,2010-07-21 00:00:00,,bluefish
97,2010-07-21 00:00:00,,flatfish
98,2010-07-21 00:00:00,,pipefish
99,2010-07-21 00:00:00,,sea robin
100,2010-07-21 00:00:00,,oyster toadfish
101,2010-07-22 00:00:00,,blue crab
102,2010-07-22 00:00:00,,amphipod
103,2010-07-22 00:00:00,,clam worm probably nereis spp
104,2010-07-22 00:00:00,,hermit crab
105,2010-07-22 00:00:00,,shrimp
106,2010-07-22 00:00:00,,shrimp
107,2010-07-22 00:00:00,,comb jelly
108,2010-07-22 00:00:00,,hydromedusae
109,2010-07-22 00:00:00,,silverside
110,2010-07-22 00:00:00,,flatfish
111,2010-07-22 00:00:00,,pipefish
112,2010-07-22 00:00:00,,puffer
113,2010-07-22 00:00:00,,striped bass
114,2010-07-24 00:00:00,,northern kingfish
115,2010-07-24 00:00:00,,flatfish
116,2010-07-24 00:00:00,,puffer
117,2010-07-24 00:00:00,,pipefish
118,2010-07-24 00:00:00,,striped bass
119,2010-07-24 00:00:00,,bluefish
120,2010-07-24 00:00:00,,silverside
121,2010-07-24 00:00:00,,comb jelly
122,2010-07-24 00:00:00,,shrimp
123,2010-07-24 00:00:00,,blue crab
124,2010-07-24 00:00:00,,sennet
125,2010-08-10 00:00:00,,blue crab
126,2010-08-10 00:00:00,,puffer
127,2010-08-10 00:00:00,,hermit crab
128,2010-08-10 00:00:00,,shrimp
129,2010-08-10 00:00:00,,shrimp
130,2010-08-10 00:00:00,,asian shore crab
131,2010-08-10 00:00:00,,striped bass
132,2010-08-10 00:00:00,,silverside
133,2010-08-10 00:00:00,,flatfish
134,2010-09-18 00:00:00,,silverside
135,2010-09-18 00:00:00,,oyster toadfish
136,2010-09-18 00:00:00,,anemone
137,2010-09-18 00:00:00,,comb jelly
138,2010-09-18 00:00:00,,asian shore crab
139,2010-09-18 00:00:00,,blue crab
140,2010-09-18 00:00:00,,pipefish
141,2010-09-18 00:00:00,,bluefish
142,2010-09-18 00:00:00,,striped bass
143,2010-09-21 00:00:00,,silverside
144,2010-09-21 00:00:00,,pipefish
145,2010-09-21 00:00:00,,sandworm
146,2010-09-21 00:00:00,,anemone
147,2010-09-21 00:00:00,,shrimp
148,2010-09-21 00:00:00,,comb jelly
149,2010-09-21 00:00:00,,green crab
