,Seining catch 2009,
,,
Date:,,
"Saturday, June 20, 2009",Species caught,Notes
,bay anchovy,
,northern pipefish,
,striped bass,
,shore shrimp,
,sand shrimp,
,sea squirts,"(molgula, probably sea grape),"
,blue crab,
,comb jelly,
,hydroids,"probably tubularian, but possibly feather"
,"hermit crab,",
,snails,
,Two hemigrapsis molts were found on the beach.,
,,
Date:,Species list for photos,
"Wednesday, September 23, 2009",,
,Lion's mane Jellyfish (Cyanea capillata),
,Green Crab (Carcinus maenas),
,Atlantic Silverside (Menidia menidia),
,Sea Horse (Hippocampus),
,Pipefish (Syngnathinae),
