Date,Time,Weather (exact air temp):,Water Temp:,DO,pH,Salinity,#of Participants,Instructors/Staff:,Scientific Name,Common Name,Quantity,Other info (Dead/Alive),DEC
5/10/2014,11:00am-12:30pm,"Sunny, Mid-70's",Not taken,Not taken,Not taken,Not taken,Not taken,"Nim, Isa, Kara",Ctenophora,Comb Jellies,9,Alive,Alive
,,,,,,,,,hemigrapsus sanguineus,Asian Shore Crabs,8,Alive,
,,,,,,,,,,True Jelly Fish,2,Alive,RL
6/21/2014,10 am - 11:30 pm,"Sunny, upper 70's",Not taken,Not taken,Not taken,Not taken,Not taken,"Cynthia, Weston, Shellita",,Atlantic Silverside,1,Alive,RL
,,,,,,,,,,Atlantic Tomcod,2,Alive,RL
,,,,,,,,,,Shore shrimp,3,Alive,RL
,,,,,,,,,,Flounder,2,Alive,RL
,,,,,,,,,,Comb Jelly,Numerous,Alive,RL
7/12/2014,2:00pm-3:30pm,"Sunny, 78",not taken,do=4,pH=6,S=20,Participants =19,"Nim, Shellita, Sarah B",,Menhaden,1,Alive,RL
,,,,,,,,,,Alewife,2,Alive,RL
,,,,,,,,,,Grubby (Sculpin family),1,Alive,RL
,,,,,,,,,,Window pain,1,Alive,RL
,,,,,,,,,,Pipe fish,1,Alive,RL
,,,,,,,,,,Sea horse,1,Alive,RL
,,,,,,,,,,Jvvenilee striped buss,5,Alive,RL
,,,,,,,,,,Glass shrimp,1,Alive,RL
,,,,,,,,,,Seven spine shrimp,5,Alive,RL
,,,,,,,,,,Comb jellies,8,Alive,RL
,,,,,,,,,,Hermit crab,1,Alive,RL
,,,,,,,,,,Blue crab,3,Alive,RL
,,,,,,,,,,Asian Shore Crabs,1,Alive,RL
8/2/2014,6:30-8:00pm,Sunny W/Few Clouds 84,Not taken,Not taken,Not taken,Not taken,10,"Shellita, Sarah B, Chris Bowser, Rebecca Houser, Kathy G",,Atlantic Silverside,11,Alive,RL
,,,,,,,,,,Striped Bass,6,Alive,RL
,,,,,,,,,,Blue Fish,1,Alive,RL
,,,,,,,,,,Northern Kingfish,1,Alive,RL
,,,,,,,,,,Green Crab,1,Alive,RL
,,,,,,,,,,Blue Crab,1,Alive,RL
,,,,,,,,,,Winter Flounder,3,Alive,RL
,,,,,,,,,,Comb jellies,15,Alive,RL
9/20/2014,1:00-2:30,Partly Cloudy 71,22c,do =4,ph=7,s=22,Participants =45,"Isa, Kathy G, Cynthia, Shellita",,Silver Side,10,Alive,RL
,,,,,,,,,,Comb Jelly,4,Alive,RL
,,,,,,,,,Stenotomus chrysops,Porgy,3,Alive,RL
,,,,,,,,,,Striped Bass,23,Alive,RL
,,,,,,,,,,Asian Shore Crabs,3,Alive,RL
,,,,,,,,,,Winter Flounder,1,Alive,RL
8/23/2014,1:00-2:30,sunny 72,Not taken,do=4,ph=7,s=21,Participants= 50,"Isa, Fiona, Rashid, Cynthia, Tracy",,Atlantic Silverside,,Alive,RL
,,,,,,,,,,Oyster toadfish,,Alive,RL
,,,,,,,,,,Striped Bass,,Alive,RL
,,,,,,,,,,comb jelly,,Alive,RL
,,,,,,,,,,,,,RL
