Date,Time,Weather (exact air temp):,Water Temp:,DO,pH,Salinity,# student seiners (12+),# of visitors (Public Seine),Instructors/ Seine Staff:,# Hauls,Scientific Name,Common Name,Quantity,# Brought to Ed Center,"Other info (Gender, Length, Dead/Alive, other physical description)"
5/26/2016,4:30-5:30 PM,86 F,70 F,6,did not do,35 ppt,"~ 18, St. Francis",N/A,Christina ,~7,Ctenophora,Comb Jelly ,11,11,died because of bubbler
5/31/2016,10:00 AM- 12:00PM,"75 F, breezy",70 F,4,7,35 ppt,N/A,N/A,"Christina, Sigrun, Isa, Eliza, 1 volunteer, 3 BCM staff",10,,pipefish,1,,~10 cm
,,,,,,,,,,,,Altanic Silverside,4,4,eaten quickly by tank fish
,,,,,,,,,,,,mud snail,1,1,~2 cm
,,,,,,,,,,,,whelk snail,1,,"~2 cm, may be different snail speices"
,,,,,,,,,,,,ghost shrimp,3,3,
,,,,,,,,,,,,Green crab,2,,
,,,,,,,,,,,,Asian Shore Crab,~20,4,most females pregnant
,,,,,,,,,,,,Mussels,~6,,
,,,,,,,,,,,,comb jelly ,~50,11,
6/1/2016,10:00AM- 12:00PM,77 F,70 F,4,7,24 ppt,N/A,N/A,"Christina, Eliza, Haley, Isa, BOP",?,,Silverside,2,,
,,,,,,,,,,,,Atlantic Tomcod,1,,
,,,,,,,,,,,,pipefish,1,1,
,,,,,,,,,,,,Asian Shore Crab,5,,1 male (missing claw) 1 female (pregnant) 3 young males
,,,,,,,,,,,,YOY crab (Blue Crab),1,,
,,,,,,,,,,,,Mussels,2,,
,,,,,,,,,,,,comb jelly ,25,,
,,,,,,,,,,,,shrimp,1,,
,,,,,,,,,,,,mud snail,2,,1 dead
,,,,,,,,,,,,oyster shell,1,,dead
,,,,,,,,,,,,Slipper Snail Shell,1,,dead
,,,,,,,,,,,,Sandworm,1,,~ 2 inches
6/4/16,2:00PM- 3:30PM,73 F,79 F,4,7,22 ppt,N/A,105,"Isa, Christina, Krista, Ethan, Ryan, Sara, Laura",Many,,Silverside,72,20,5 were dead
,,,,,,,,,,,,comb jelly ,80,,
,,,,,,,,,,,,Atlantic Tomcod,1,1,
,,,,,,,,,,,,Striped Bass,11,2,
,,,,,,,,,,,,Green crab,2,1,
,,,,,,,,,,,,Slipper Shell,5,,one dead
,,,,,,,,,,,,Asian Shore Crab,7,,
,,,,,,,,,,,,Sandworm,1,,
,,,,,,,,,,,,pipefish,2,,
,,,,,,,,,,,,Tunicates,4 clusters,,
,,,,,,,,,,,,Blue Crab,1,1,
,,,,,,,,,,,,Mud Snail,8,,
,,,,,,,,,,,,Shrimp,11,,6 glass and 5 shore
,,,,,,,,,,,,Moon Jelly,2,,very tiny
6/14/16,11AM - 12PM,82 F,67 F,4,7,22 ppt,5,20,"Isa, Sigrun, Eliza",8,,Atlantic Tomcod,1,1,
,,,,,,,,,,,,Comb Jelly ,75,,estimate
,,,,,,,,,,,,Asian Shore Crab,4,,found on rocks
6/15/16,9:00AM - 1:00PM,75 F,63 F,?,?,29 ppt,7,30,Isa,9,,Silverside,1,,
,,,,,,,,,,,,Striped Bass,1,1,
,,,,,,,,,,,,pipefish,2,1,
,,,,,,,,,,,,Glass Shrimp,1,1,
,,,,,,,,,,,,Comb jelly ,200,,
,,,,,,,,,,,,Asian Shore Crab,1,,caught at cove
07/01/16,12:00PM - 1:00PM,84 F,73 F,4,7,22 ppt,4,6,"Isa, Eliza, Shad, Haley",5,,Lady Crab,1,1,Male
,,,,,,,,,,,,Asian Shore Crab,1,,on rock island
,,,,,,,,,,,,Comb jelly ,10,,
07/13/16,1:00PM-2:30PM,83 F,74 F,?,?,27 ppt,14,19,"Isa, Peter, Eliza",6,,Comb jelly ,6,,
,,,,,,,,,,,,Blue Crab,1,,Not found on rock island
,,,,,,,,,,,,Atlantic Menhaden,28,,
7/16/16,12:00PM - 1:30PM,87 F,72 F,4,7,29 ppt,8,50,Cynthia and others,15,,Shore Shrimp,1,1,
,,,,,,,,,,,,Sand Shrimp,1,1,
,,,,,,,,,,,,Hermit Crab,1,1,
,,,,,,,,,,,,Summer Flounder,1,1,
,,,,,,,,,,,,Windowpane Flounder,1,1,
,,,,,,,,,,,,Asian Shore Crab,1,,
,,,,,,,,,,,,Blue Crab,1,,
,,,,,,,,,,,,Northern Sea Robin,1,1,
7/28/16,?,87 F,74 F,4,?,28 ppt,?,?,"Peter, Isa",19,,Silverside,6,1,5 tiny ones
,,,,,,,,,,,,Sea Bass,1,,
,,,,,,,,,,,,Comb Jelly ,45,0,
,,,,,,,,,,,,Blue Crab,1,1,
,,,,,,,,,,,,Lady Crab,1,0,
,,,,,,,,,,,,Winter Flounder,2,2,
,,,,,,,,,,,,Mud Snail,1,,
7/29/16,10:30AM - 1:00PM,85 F,75 F,?,?,28,22,80,3,13,,Blue Crab,2,,
,,,,,,,,,,,,Mud Crab,1,,
,,,,,,,,,,,,Asian Shore Crab,1,,
,,,,,,,,,,,,Green crab,1,,
,,,,,,,,,,,,Silverside,2,2,
,,,,,,,,,,,,Western Mosquito FIsh,2,gave to peter,dead & preserved
,,,,,,,,,,,,Amphipods,10+,,
,,,,,,,,,,,,Mud Snail,1,1,
,,,,,,,,,,,,Comb Jelly ,20+,,
8/12/16,10:00AM - 1:00PM,93 F,?,?,?,?,8,70,Isa,~15,,Silverside,14,7,
,,,,,,,,,,,,Porgy,1,1,
,,,,,,,,,,,,Winter Flounder,1,,
,,,,,,,,,,,,Green Crab,1,,
,,,,,,,,,,,,Shore Shrimp,3,,
,,,,,,,,,,,,Mussles,2,,
,,,,,,,,,,,,Blue Crab,1,,
,,,,,,,,,,,,Unidentified Fish,1,,
,,,,,,,,,,,,Cunner,1,,juvenile
,,,,,,,,,,,,Comb Jelly ,50,,
8/13/16,10:00AM - 12:00PM,96 F,?,?,?,?,6,10,Peter Park,20,,Silverside,11,,
