Date,Time,Weather & Air Temp:,Water Temp:,Tide Times,Tide is moving,DO,pH,Salinity,Turbidity,# student seiners (CLASSES ONLY),# of visitors (Public Seine ONLY),Instructors/ Seine Staff:,# Hauls,Common Name,Quantity,# Brought to Ed Center,"Other info (Gender, Length, Dead/Alive, other physical description)",NOTES FROM SEINEING SEASON:
6/3/2017 WORLD SCIENCE FESTIVAL,10:00 AM- 11:30 AM,"68 F @ 9:45 AM, Cloudy","59 F @ 9 AM, 62 F @ 10 AM","High Tide: 4:53 AM, Low Tide: 10:54 AM",OUT,9,did not perform,22 ppt (w/ hydrometer and refractometer),"20.4 cm, 40 NTU",N/A,118,"Peter Park, Haley, Shad, Isa, Christina, 2 BBPC volunteers, 3 Nyack Fishing Club, 3 Summer Associates",between 10-14 (two neets going at once),Comb Jelly,TMTC,,,"During several seines throughtout the summer, many YOY clupeid species were caught and difficult to identify. In a lab, one fish was identified as American Shad, the other as Blueback Herring. The two species are very difficult to distinguish unless opened up to observe the peritoneum.                             Species with an astirik * are listed with best educated guess, but not certainty."
,,,,,,,,,,,,,,Atlantic Menhaden,1,,,
,,,,,,,,,,,,,,YOY Blueback Herring *,14,Peter took to lab,refer to season notes --->,
,,,,,,,,,,,,,,YOY American Shad *,1,Peter took to lab,refer to season notes --->,
,,,,,,,,,,,,,,YOY Striped Bass,1,1,,
,,,,,,,,,,,,,,Shore Shrimp,2,2,,
,,,,,,,,,,,,,,Mud Snail,3,2,,
,,,,,,,,,,,,,,Oyster Drill Snail,1,,,
,,,,,,,,,,,,,,YOY Blue Crab,1,,Male,
,,,,,,,,,,,,,,Asian Shore Crabs,2,,Pregnant females,
,,,,,,,,,,,,,,Snail eggs,unknown,,"On a blade of algae, possibly 15-20 eggs",
6/9/2017,3:30 PM- 5:00 PM,"90 F @ 3PM, 81 F @ 5 PM","66 F @ 3 PM, 63 F @ 5PM","High Tide: 9:44 PM, Low Tide: 3:23 PM",IN,"4, 0 (two tests by students)","7, 7 (two tests by students)","23, 22 ppt",Did not perform,8 (St. Francis After School) plus few from YES Sympossium,N/A,"Christina, Isa, Haley, Eliza",unknown,YOY Blueback Herring *,38,,,
,,,,,,,,,,,,,,Comb Jelly,20,,,
,,,,,,,,,,,,,,Striped Bass,1,1,10 cm,"During several seines throughtout the summer, many YOY clupeid species were caught and difficult to identify. In a lab, one fish was identified as American Shad, the other as Blueback Herring. The two species are very difficult to distinguish unless opened up to observe the peritoneum.                             Species with an astirik * are listed with best educated guess, but not certainty."
,,,,,,,,,,,,,,Bay Anchovy,1,,6 cm,
,,,,,,,,,,,,,,Pipefish ,2,,pregnant female 12 cm,
,,,,,,,,,,,,,,Sand Shrimp,16,16,,
,,,,,,,,,,,,,,Asian Shore Crabs,1,,,
,,,,,,,,,,,,,,Glass Shrimp (shore shrimp),1,1,,
,,,,,,,,,,,,,,Mud Snail,2,2,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
6/20/17,9:30 AM- 11:30 PM,75 F,73 F,"High Tide: 5:55 AM, Low Tide: 11:45 AM",OUT,0,8,21 ppt,Did not perform,students too young,N/A,"Christina, Isa, Eliza, Haley, 4 SA, Laura",at least 10,Blueback Herring *,5,,,
,,,,,,,,,,,,,,Pipefish,1,1,,
,,,,,,,,,,,,,,Blue Crab,2?,,"1 small YOY with visible swimmers, 1 species uncertain",
,,,,,,,,,,,,,,Asian Shore Crab,3,,,"During several seines throughtout the summer, many YOY clupeid species were caught and difficult to identify. In a lab, one fish was identified as American Shad, the other as Blueback Herring. The two species are very difficult to distinguish unless opened up to observe the peritoneum.                             Species with an astirik * are listed with best educated guess, but not certainty."
,,,,,,,,,,,,,,Sand Shrimp,2,2,,
,,,,,,,,,,,,,,Glass shrimp,7,7,,
,,,,,,,,,,,,,,mud snail,6,6,,
,,,,,,,,,,,,,,oyster drill,7,,,
,,,,,,,,,,,,,,mussel,2,,"2 alive, additional mussel & clam shells found",
,,,,,,,,,,,,,,moon jelly,1,,,
,,,,,,,,,,,,,,comb jelly,TMTC,,,
,,,,,,,,,,,,,,seq squirts,TMTC,,,
,,,,,,,,,,,,,,sandworm,1,,,
