"Brooklyn Bridge Park Conservancy, East River, underneath Manhattan Bridge",,,,,,,,,,,,,,,,,,,,,,,
Catch of the Day,,,,,,,,,,,,,,,,,,,,,,,
Name of Species,######,5/14/2011,#######,5/28/2011,Total Number May,6/11/2011,6/14/2011,6/26/2011,Total Number June,7/10/2011,7/11/2011,7/12/2011,7/13/2011,Total Number July,#######,8/9/2011,8/10/2011,Total Number August,#####,######,9/26/2011,Total Number Sept,Total Number October
amphipod,2,,,,2,,,,,,,,,,,,,,,,,,
anchovy,,3,36,73,112,20,2,1,23,5,,,,28,,,,,,6,2,8,4
Atlantic Silverside,6,27,,,33,,2,8,10,18,5,5,3,41,6,10,75,91,75,10,5,90,5
Atlantic tomcod,1,,4,,5,1,1,,2,,,,,2,,,,,,,,,
bay anchove,,,,,,,,,,,,,2,2,,,,,,,,,
blue crab,,9,,1,10,6,2,1,9,,1,2,,12,1,,3,4,1,3,2,6,
blue fish,,,,,,,,2,2,,,,,2,,,,,,,,,
ctenophore,,,45,,45,,,,,,,,,,,,,,,,,,
comb jellies,2,1,,2,5,9,2,12,23,60,20,40,20,163,20,20,45,85,50++,25,20,100+,35
decoration crab,,,,,,,,,,,,1,,1,,,,,,,,,
flatfish,,,,,,1,,,1,,,,,1,,,,,,,,,
flounder,,2,,,2,,,1,1,,,,,1,,,,,,,2,2,1
golden star tunicate,,,,,,,1,,1,,,,,1,,,,,,,,,
green crab,,,1,,1,,,,,1,,,,1,,,,,1,2,2,5,
hermit crab,,1,,,1,,,,,,,,,,,,,,,1,,1,
herring,,6,2,3,11,1,1,3,5,,,,,5,,,,,50++,,,50+,
hogchoker,,,,,,,,,,,1,,,1,,,,,,,,,
hydroid,,,,,,,,,,1,,,,1,,,,,,,,,
hydromedusae,,,,,,,,,,,,,,,,,,,,2,2,4,
isopod,,1,,,1,,,,,,,,,,,,,,,,,,
moon jelly,2,,,,2,,,,,30,,5,,35,,,,,30++,1,15,50+,1
naked goby,,,,,,,,,,,,,,,,,,,,,1,1,
northern kingfish,,,,,,,,,,,,,,,,,,,,,1,1,
northern pipefish,,2,,,2,1,1,,2,,,,,2,,,,,1,,,1,
oyster,,,,,,,4,,4,,,,,4,1,1,2,4,3,4,2,,
oyster toadfish,,,,,,,,,,,,,,,,1,,1,,1,,1,
skillet fish,,,,,,,,,,,,,,,,,,,,1,,1,
poly worm,,,,,,,,,,1,,,,1,,,,,,,,,
sea squirt,,,,,,,,,,15,,10,,25,,,,,,,50,50,
shrimp (shore and mud),,68,2,1,71,37,5,3,45,10,,,1,56,,,2,,,,,,
snail,3,,,,,,2,1,3,4,,10,1,81,0,0,2,2,0,0,50,50,
striped bass,,4,1,1,6,,,,,1,,,,1,,,,,1,12,4,17,9
tube worm,,,,,,,,,,1,,,,1,,,,,,,,,
white perch,,,,,,,,,,,,,1,1,,,,,,,,,
Total number:,16,124,91,81,309,76,23,32,131,147,27,73,28,,28,,129,157,,,,238,55
