Name of Species,4/25/2012,APRIL TOTALS/AVERAGES,5/16/2012,5/19/2012,5/30/2012,5/31/2012,MAY TOTALS/AVERAGES,6/1/2012,6/2/2012,6/14/2012,JUNE TOTALS/AVERAGES,7/31/2012,AUGUST TOTALS/AVERAGES,8/14/2012,8/15/2012,9/15/`12,9/27/2012,9/28/2012,10/4/2012,10/10/2012
American Eel,,,,,,1,1,,,,0,,0,,,,,,1,
Amphipod,,,,,,,,,,,0,,0,,,,,,,
Anchovy,,,7,15,,,22,,,,0,,0,1,,,,,,
Asian Shore Crab,,,,,,,,,3,,3,,0,,2,3,,,,
Atlantic Silverside,,,,,6,1,7,2,23,,25,50+,50+,14,35,,6,41,1,1
Atlantic Tomcod,,,4,,5,,9,,6,19,25,,0,,,,,,,
Banded Killfish,,,,,,,0,,,,0,,0,,,,,,,
Blue Back,,,,,,,0,,1,,1,1,1,,,,,,,
Blue Crab,,,,,,,0,1,1,2,4,,0,,,3,1,1,,3
Blue Fish,,,,,,,0,1,,,1,1,1,,,,,,1,
Blue Mussel,,,,,,,0,1,,,1,,0,,,,,,,
Ctenophore,,,,,,,0,,,2,2,,0,20,10,,,,,
Comb Jelly,,,,,,,0,,1,,1,25+,25+,50,20+,20,15,4,1,2
Flounder,,,,,,1,1,,5,2,7,,0,,,,,,,
Green Crab (European),,,1,1,,,2,,4,,4,,0,,1,,,,,1
Hemigraphis Molt,,,,,,,0,,,,0,,0,,,,,,,1
Hermit Crab,,,,,,,0,,,,0,,0,,,3,,,,
Herring,,,,,,,0,,8,,8,,0,,,,,,,
Hogchocker,,,,,,,0,,,,0,,0,,,,,,,
Hydroid,,,,,,,0,,,,0,,0,,,,,,,
Hydromedusae,,,,,,,0,,,,0,,0,,,,,,,
Lion's Mane Jelly Fish,,,,,,,0,,,,0,,0,,,,,,,
Moon Jelly,,,,,,1,1,,,,0,,0,,,,,,,
Mummichog,,,,,,,0,,,,0,,0,,,,,,,
Naked Goby,,,,,,,0,,,,0,,0,,,,,,,
Northern Kingfish,,,,,,,0,,,,0,,0,,,,,,,
Northern Pipefish,,,,,1,1,2,,2,,2,,0,1,,,,,,
Northern Puffer,,,,,,,,,,,,1,1,,,,,,,
Oyster Toadfish,,,,,,,0,,,,0,,0,,,1,1,,,
Ribbed Mussel,,,,,,,0,,1,,1,,0,,,,,,,
Sand Worm,,,,,,,0,,1,,1,,0,,,,,,,
Sea Horse,,,,,,,0,,,,0,,0,,,,,,,
Sea Squirt,,,50,,,,50,,,,0,3,3,,,10,5,20,,
Shrimp (Shore and Mud),7,7,1,2,,7,10,,5,,5,,0,,,4,,,,
Shrimp (Seven Spine),12,12,7,7,,2,16,,3,1,4,,0,,,,,,,
Snail,2,2,6,,,,6,3,2,,5,,0,,,,,,8,1
Soft Shell Clam,,,,,,,0,,,,0,,0,,,,,,,
Spotted Hake,,,2,,1,1,4,,2,,2,,0,,,,,,,
Striped Bass,1,1,1,,,1,2,,,,0,,0,,,,,,,
Striped Searobin,,,,,,,0,,,,0,,0,,,,,,,
Turnicate,1,1,,,,,0,,,,0,,0,,,,,,,
White Perch,,,,,,,0,,,,0,,0,,,,,,,
Northern Stargazer,,,,,,,,,,,,,,,,1,,,,
skillet fish,,,,,,,,,,,,,,,,1,,,,
Porgy/scup,,,,,,,,,,,,,,,,1,1,1,,
Wrasel Sea Bass,,,,,,,,,,,,,,,,,3,,,
White mullet,,,,,,,,,,,,,,,,,,,1,1
Cunner,,,,,,,,,,,,,,,,,,,,1
Silver Perch,,,,,,,,,,,,,,,,,,,,1
white fingered mud crab,,,,,,,,,,,,,,,,,,,,1
# Tows,6,6,,,,,,,,,,,,,,,,,,
Air Temperature (˚F),,,75,76,75,74,75,74,75,66,71.66666667,,,,,75,,65,,
Water Temperature (˚C),,,,,20,,20,21,,19.5,20.25,,,,,,,22C,,
Weather Conditions,,,Overcast,"Sunny, Warm","Overcast, Humid",Sunny,,"Sunny, Breezy",Sunny,"Overcast, Windy",,,,,,sunny,,overcast,,
pH,,,,,,7.51,7.51,7,,7,7,,,,,,,,,
Dissolved Oxygen (ppm),,,,,,,,4,,,4,,,,,,,,,
Instructor,,,Nim,Nim,Nim,Nim,,Nim,Nim,Nim,,,,,,Cynthia,,Cynthia,,
Group Name,,,Five Borough Homeschool,Public,Lyons School,Lyons School,,Lyons School,Public (World Science Festival),,,,,,,community,,BK Waldorf Sch,,
# Participants,,,29,30,20,,26.33333333,7,,,,,,,,,,,,
Low Tide,,,,,10:08 AM,11:04 AM,,12:00 PM,,,,1:55 PM,,12:57 PM,1:44 PM,2:00,,5:30 AM,,
Start Time,,,,,10:00 AM,11:00 AM,,11:30 PM,,10:00 AM,,1:30 PM,,12:30 PM,1:30 PM,1:30,,,,
