Brooklyn Bridge Park Conservancy Seining Catch list 2013,,,,,,
Date,Time,Weather:,Air Temp:,Instructors:,Common Name,Quantity
6/4/2013,,,,,Blueback herring,1
,,,,,Bay anchovy,1
,,,,,Summer flounder,1
,,,,,glass shrimp,1
,,,,,asian shore crab,1
,,,,,comb jellies,15
,,,,,golden star tunicate,1 clump
,,,,,sea squirt/solitary tunicate,1
6/17/2013,10 am - 1 pm,"Sunny, 80s",,"Nim, Eliza Connor",American eel,1
,,,,,Atlantic Silverside,20
,,,,,Comb jellies,50
,,,,,Shrimp,1
6/18/2013,,,,,bluefish (juvenile),30
,,,,,comb jelly,15
,,,,,true jelly,1
6/21/2013,10 am - 1 pm,"Sunny, 80s",,"Cynthia, Eliza, Sara, Natalia",American eel,2
,,,,,Comb jellies,20
,,,,,asian shore crab,2
,,,,,Hermit crab,1
,,,,,Snail,1
,,,,,Shore shrimp,4
6/22/2013,,,,,1 oyster toadfish (caught in traffic cone),1
,,,,,1 black sea bass,1
,,,,,20 ctenophores,20
,,,,,1 oyster drill,1
,,,,,5 Asian shore crabs,5
7/18/2013,,hot and sunny,,"Rosie, Cynthia",comb jelly,15
,,,,,bluefish,7
,,,,,atlantic silverside,10
7/19/2013,11:30 - 1:00,hot and clear,,"Eliza, Connor, Cynthia",comb jelly,20
,,,,,atlantic silverside,8
,,,,,mud crab,1
8/1/2013,10am-1pm,rainy!,,"Cynthia, Louis, Rosy",Atlantic Silverside,17
,,,,,Comb jelly,100
8/4/2013,11am-12:30 pm,,,,moon jelly,25
,,,,,comb jelly,100+
,,,,,Blue Crab,1
,,,,,Asian Shore Crab,5
,,,,,Atlantic SIlverside,10
,,,,,Stripped Bass,1
8/17/2013,10:00-11:30,Sunny,80,Cynthia,comb jelly,100+
,,,,,stripped bass,1
,,,,,northern pipefish,1
,,,,,blue crab,2
,,,,,shore shrimp,2
9/23/2013,5:00 PM,slightly overcast,70,"Kathy Nolan, Isa",silverside,2
,,,,,bluecrab,1
,,,,,Shrimp,2
,,,,,mud crab,1
,,,,,comb jelly,50
9/28/2013,,sunny,73,"Kathy Nolan, Isa",silverside,5
