Month,Year,Corrected Common Name,Corrected Quantity
5,2018,atlantic tomcod,9
5,2018,green crab,1
5,2018,mud snail,1
5,2018,northern pipefish,4
5,2018,sand shrimp,10
5,2018,unidentified flatfish,1
5,2019,atlantic silverside,4
5,2019,atlantic tomcod,5
5,2019,bay anchovy,50
5,2019,clam,3
5,2019,mud snail,117
5,2019,periwinkle,3
5,2019,ribbed mussel,3
5,2019,sand shrimp,15
5,2019,sandworm,1
5,2019,shore shrimp,10
5,2019,skilletfish,1
5,2019,striped bass,5
5,2019,tautog,1
5,2019,unidentified herring,1
5,2019,unidentified shrimp,44
6,2018,atlantic silverside,2
6,2018,atlantic tomcod,1
6,2018,sand shrimp,2
6,2018,shore shrimp,12
6,2018,unidentified herring,1
6,2019,atlantic menhaden,3
6,2019,atlantic silverside,35
6,2019,atlantic tomcod,33
6,2019,blue crab,3
6,2019,blueback herring,1
6,2019,bluefish,7
6,2019,clam,3
6,2019,grass shrimp shore shrimp,2
6,2019,horseshoe crab,2
6,2019,long clawed hermit crab,2
6,2019,moon jelly,3
6,2019,mud snail,63
6,2019,northern pipefish,1
6,2019,periwinkle,7
6,2019,polychaete worm,2
6,2019,ribbed mussel,7
6,2019,sand shrimp,18
6,2019,shore shrimp,45
6,2019,striped bass,2
6,2019,tautog,2
6,2019,unidentified herring,7
7,2018,asian shore crab,2
7,2018,atlantic silverside,68
7,2018,clam,1
7,2018,mud snail,15
7,2018,northern pipefish,2
7,2018,periwinkle,4
7,2018,sandworm,1
7,2018,shore shrimp,33
7,2018,skilletfish,2
7,2018,striped bass,2
7,2018,tautog,1
7,2018,winter flounder,1
7,2019,atlantic menhaden,6
7,2019,atlantic silverside,341
7,2019,atlantic tomcod,6
7,2019,blue crab,4
7,2019,blue mussel,2
7,2019,bluefish,7
7,2019,clam,2
7,2019,grass shrimp shore shrimp,27
7,2019,isopod,2
7,2019,larval fish,2
7,2019,long clawed hermit crab,18
7,2019,mud snail,35
7,2019,northern pipefish,3
7,2019,northern puffer,2
7,2019,oyster toadfish,2
7,2019,periwinkle,2
7,2019,ribbed mussel,2
7,2019,sand shrimp,4
7,2019,skilletfish,5
7,2019,spot,3
7,2019,striped bass,1
7,2019,summer flounder,1
7,2019,tautog,2
7,2019,white perch,1
7,2019,winter flounder,1
8,2018,asian shore crab,5
8,2018,atlantic silverside,259
8,2018,blue crab,1
8,2018,comb jelly,3
8,2018,green crab,1
8,2018,long clawed hermit crab,3
8,2018,moon jelly,12
8,2018,mud snail,10
8,2018,northern pipefish,3
8,2018,periwinkle,2
8,2018,porgy,1
8,2018,shore shrimp,5
8,2018,skilletfish,1
8,2018,striped bass,1
8,2018,striped burrfish,1
8,2018,tautog,1
8,2018,unidentified herring,1
8,2018,winter flounder,2
8,2019,american eel,2
8,2019,atlantic herring,1
8,2019,atlantic menhaden,94
8,2019,atlantic silverside,875
8,2019,bay anchovy,18
8,2019,blue crab,7
8,2019,bluefish,10
8,2019,clam,2
8,2019,comb jelly,5
8,2019,cunner,1
8,2019,grass shrimp shore shrimp,7
8,2019,horseshoe crab,4
8,2019,hydromedusa,18
8,2019,long clawed hermit crab,2
8,2019,mud snail,12
8,2019,needlefish,4
8,2019,northern pipefish,6
8,2019,ribbed mussel,3
8,2019,silver perch,59
8,2019,skilletfish,2
8,2019,striped anchovy,3
8,2019,tautog,4
8,2019,winter flounder,1
9,2018,asian shore crab,2
9,2018,atlantic menhaden,53
9,2018,atlantic silverside,118
9,2018,blue crab,12
9,2018,comb jelly,33
9,2018,horseshoe crab,2
9,2018,long clawed hermit crab,20
9,2018,moon jelly,5
9,2018,mud snail,4
9,2018,northern pipefish,2
9,2018,periwinkle,3
9,2018,porgy,4
9,2018,ribbed mussel,1
9,2018,sand shrimp,1
9,2018,shore shrimp,2
9,2018,striped bass,3
9,2018,tautog,3
9,2018,white perch,1
9,2018,winter flounder,1
9,2019,atlantic menhaden,1
9,2019,atlantic silverside,180
9,2019,bluefish,4
9,2019,clam,1
9,2019,horseshoe crab,1
9,2019,porgy,2
9,2019,silver perch,1
9,2019,undetermined jelly,1
10,2018,atlantic silverside,30
10,2018,bay anchovy,4
10,2018,blue crab,3
10,2018,bluefish,11
10,2018,comb jelly,87
10,2018,long clawed hermit crab,5
10,2018,moon jelly,3
10,2018,mud snail,8
10,2018,northern pipefish,2
10,2018,porgy,1
10,2018,sand shrimp,4
10,2018,shore shrimp,6
10,2018,silver perch,4
10,2018,skilletfish,1
10,2018,striped bass,8
10,2018,unidentified flatfish,1
10,2018,unidentified hermit crab,10
10,2018,unidentified herring,2
10,2019,atlantic menhaden,8
10,2019,atlantic silverside,683
10,2019,blue crab,1
10,2019,comb jelly,5
10,2019,comb jelly beroe,6
10,2019,comb jelly leidyi,21
10,2019,hydromedusamoon jelly,5
10,2019,long clawed hermit crab,1
10,2019,mud snail,5
10,2019,northern pipefish,3
10,2019,periwinkle snail,2
10,2019,porgy,1
10,2019,skilletfish,1
10,2019,striped anchovy,11
10,2019,tautog,3
10,2019,unidentified mussel,1
10,2019,unidentified shrimp,1
10,2019,white perch,2
10,2019,winter flounder,1
