Species,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
alewife,No,No,No,No,No,No,Yes,Yes,No,Yes
american eel,No,No,No,No,Yes,Yes,No,No,Yes,Yes
american shad,No,No,No,No,No,No,No,No,No,Yes
amphipod,No,No,Yes,Yes,No,No,No,No,Yes,No
anemone,No,No,Yes,No,No,No,No,No,No,No
asian shore crab,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
atlantic herring,No,No,No,No,No,No,No,Yes,No,No
atlantic menhaden,No,No,No,No,No,No,Yes,Yes,Yes,Yes
atlantic silverside,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
atlantic tomcod,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes
bay anchovy,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes
black fingered mud crab,No,No,No,No,No,No,No,No,Yes,No
black sea bass,No,No,No,No,No,Yes,No,No,Yes,Yes
blue crab,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
blue mussel,No,No,Yes,No,Yes,No,No,Yes,Yes,No
blueback herring,No,No,No,No,Yes,Yes,No,No,No,Yes
bluefish,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
bluespotted cornetfish,No,No,No,No,No,No,No,Yes,No,No
box crab,No,No,No,No,No,No,No,Yes,No,No
clam worm probably nereis spp,No,No,Yes,No,No,No,No,No,No,No
clams,No,No,No,No,No,No,No,No,No,Yes
colonial tunicate,No,No,No,No,No,No,No,Yes,No,No
comb jelly,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ctenophore,No,No,No,No,No,Yes,No,No,No,No
cunner,No,No,No,No,Yes,No,No,Yes,Yes,Yes
eastern oyster,No,No,No,Yes,No,No,No,No,Yes,Yes
glass shrimp,No,No,No,No,No,No,No,Yes,Yes,Yes
golden star tunicate,No,No,No,Yes,No,Yes,No,Yes,Yes,No
green crab,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
grubby,No,No,No,No,No,No,Yes,No,No,Yes
hogchoker,No,No,No,Yes,No,No,No,No,No,No
hydrozoa,No,Yes,Yes,Yes,No,No,No,Yes,No,No
isopod,No,No,No,Yes,No,No,No,Yes,No,No
jelly fish,No,No,Yes,No,No,Yes,Yes,No,No,No
lady crab,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes
lions mane jellyfish,Yes,Yes,Yes,No,No,No,No,No,No,No
mantis shrimp,Yes,No,No,No,No,No,No,No,No,No
mole crab,No,No,No,No,No,No,No,No,Yes,No
moon jelly,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes
mud crab,No,No,No,No,No,Yes,No,No,Yes,Yes
mud snail,No,No,No,No,No,No,No,No,Yes,Yes
mussel,No,No,No,No,No,No,No,No,Yes,Yes
naked goby,No,No,No,Yes,No,No,No,No,Yes,No
northern kingfish,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes
northern pipefish,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
northern puffer,No,No,Yes,No,Yes,No,No,No,No,No
northern sea robin,No,No,Yes,No,No,No,No,No,Yes,No
northern stargazer,No,No,No,No,Yes,No,No,No,No,No
oyster drill snail,No,No,No,No,No,Yes,No,Yes,Yes,Yes
oyster toadfish,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
porgy,No,No,No,No,Yes,No,Yes,Yes,Yes,No
red beard sponge,No,No,Yes,No,No,No,No,No,Yes,No
ribbed mussel,No,No,No,No,Yes,No,No,No,No,No
sand shrimp,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes
sand worm,No,No,No,Yes,No,No,No,No,No,No
sandworm,No,No,Yes,No,Yes,No,No,No,Yes,Yes
scud,No,No,No,No,No,No,No,Yes,No,No
sea robin,No,No,No,No,No,No,No,No,Yes,No
sea squirt,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes
seaboard goby,No,No,No,No,No,No,No,No,Yes,No
seahorse,No,Yes,No,No,No,No,Yes,No,No,No
sennet,No,No,Yes,No,No,No,No,No,No,No
seven spine shrimp,No,No,No,No,Yes,No,No,No,No,No
sheepshead porgy,No,No,No,No,No,No,No,Yes,No,No
shore shrimp,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes
silver perch,No,No,No,No,Yes,No,No,No,Yes,Yes
skillet fish,No,No,No,Yes,Yes,No,No,No,No,No
spider crab,No,No,No,Yes,No,No,No,No,Yes,No
spotted hake,No,No,No,No,Yes,No,No,No,No,No
spotted whiff,No,No,No,No,No,No,No,No,No,Yes
striped bass,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
striped searobin,Yes,No,No,No,No,No,No,No,No,No
summer flounder,No,No,Yes,No,No,Yes,No,Yes,Yes,No
tautog,No,No,No,No,No,No,No,Yes,Yes,Yes
tube worm,No,No,No,Yes,No,No,No,No,No,No
tunicate,No,No,No,No,Yes,No,No,Yes,Yes,Yes
unidentified fish,No,No,No,No,No,No,No,No,Yes,No
unidentified flatfish,No,No,Yes,Yes,Yes,No,Yes,No,No,No
unidentified hermit crab,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
unidentified herring,No,No,No,Yes,Yes,No,No,No,No,Yes
unidentified jelly fish,No,No,Yes,No,No,No,No,No,No,No
unidentified mussel,No,No,No,No,No,No,No,No,Yes,Yes
unidentified sea snail,No,No,No,No,No,No,No,Yes,No,No
unidentified shrimp,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No
unidentified snail,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
unidentified snail eggs,No,No,No,No,No,No,No,No,No,Yes
unidentified sponge,No,No,No,No,No,No,No,Yes,No,No
western mosquito fish,No,No,No,No,No,No,No,No,Yes,No
whelk snail,No,No,No,No,No,No,No,No,Yes,No
white fingered mud crab,No,No,No,No,Yes,No,No,No,No,No
white mullet,No,No,No,No,Yes,No,No,No,No,No
white perch,No,No,No,Yes,No,No,No,Yes,No,No
windowpane flounder,No,No,No,No,No,No,Yes,No,Yes,No
winter flounder,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes
wrasel sea bass,No,No,No,No,Yes,No,No,No,No,No
