site_id,url,st,contact,agencies,latitude,longitude,count,geomean,maximum,minimum,id,location_id,site_name,sample_date,specimen_count,specimen_count_int,temperature,salinity,chlorophyll,turbidity,oxygen,rain_day_of,rain_prior_day,rain_2_days_prior,rain_3_days_prior,rain_3_day_total,rain_4_days_prior,rain_5_days_prior,rain_5_day_total,site_type
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,5439,144.5,Dunn Memorial Bridge- Albany,10/19/2017 0:00,24,24,61.9,0.1,1.9,5.8,98.4,0,0,0,0.01,0.01,0.26,0,0.27,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,5365,144.5,Dunn Memorial Bridge- Albany,9/14/2017 0:00,69,69,69.9,0.1,4.5,4,102.3,0,0,0,0,0,0,0,0,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,5291,144.5,Dunn Memorial Bridge- Albany,8/17/2017 0:00,13,13,77.8,0.1,2.9,6,98.7,0,0,0.03,0,0.03,0.01,0.39,0.43,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,5217,144.5,Dunn Memorial Bridge- Albany,7/13/2017 0:00,26,26,76.1,0.1,0.7,15.3,99.8,0.15,0.06,0.06,0,0.27,0.01,0.35,0.63,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,5143,144.5,Dunn Memorial Bridge- Albany,6/15/2017 0:00,34,34,72.7,0.1,1.6,11.7,101.5,0,0,0.02,0,0.02,0,0,0.02,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,5069,144.5,Dunn Memorial Bridge- Albany,5/18/2017 0:00,6,6,61.8,0.1,1.4,10,107.2,0,0,0,0.25,0.25,0.44,0.22,0.91,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4996,144.5,Dunn Memorial Bridge- Albany,4/7/2017 0:00,344,344,40.8,0.1,0.1,216.5,107,0.02,0.48,0.01,0.87,1.38,0,0.01,1.39,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4682,144.5,Dunn Memorial Bridge- Albany,10/18/2016 0:00,6,6,61.1,0.1,0.8,36,99,0,0,0,0,0,0,0.1,0.1,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4681,144.5,Dunn Memorial Bridge- Albany,9/17/2016 0:00,5,5,73.7,0.1,1.6,-99,93,0,0,0,0,0,0,0,0,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4680,144.5,Dunn Memorial Bridge- Albany,8/18/2016 0:00,50,50,82.4,0.1,1.9,29,89,0,0,0.2,0,0.2,0,0.6,0.8,Hudson
