,Kingdom:,Phylum:,Class:,Order:,Family:,Genus:,Species:,Name
0,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Alosa,A.pseudoharengus,alewife
1,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,A.rostrata,american eel
2,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Alosa,A.(A.) sapidissima,american shad
3,Animalia,Arthropoda,Malacostraca,Amphipoda,,,,amphipod
4,Animalia,Cnidaria,Anthozoa,Actiniaria,,,,sea anemone
5,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,H.sanguineus,asian shore crab
6,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,C.harengus,atlantic herring
7,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Brevoortia,B.tyrannus,atlantic menhaden
8,Animalia,Chordata,Actinopterygii,Beloniformes,Belonidae,Strongylura,S.marina,atlantic needlefish
9,Animalia,Chordata,Actinopterygii,Atheriniformes,Atherinopsidae,Menidia,M.menidia,atlantic silverside
10,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Microgadus,M.tomcod,atlantic tomcod
11,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,Anchoa,A.mitchilli,bay anchovy
12,Animalia,Arthropoda,Malacostraca,Decapoda,Panopeidae,Panopeus,P.herbstii,black fingered mud crab
13,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Centropristis,C.striata,black sea bass
14,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,C.sapidus,blue crab
15,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,M.edulis,blue mussel
16,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Alosa,A.aestivalis,blueback herring
17,Animalia,Chordata,Actinopterygii,Perciformes,Pomatomidae,Pomatomus,P.saltatrix,bluefish
18,Animalia,Chordata,Actinopterygii,Syngnathiformes,Fistulariidae,Fistularia,F.commersonii,bluespotted cornetfish
19,Animalia,Arthropoda,Malacostraca,Decapoda,Calappidae,Calappa,,box crab
20,Animalia,Chordata,,,,,,colonial tunicate
21,Animalia,Ctenophora,Nuda,Beroida,Beroidae,Beroe,B.cucumis,comb jelly beroe
22,Animalia,Ctenophora,Tentaculata,Lobata,Bolinopsidae,Mnemiopsis,M.leidyi,comb jelly leidyi
23,Animalia,Mollusca,Gastropoda,,Littorinidae,Littorina,Littorina littorea,common periwinkle snail
24,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Tautogolabrus,T.adspersus,cunner
25,Animalia,Mollusca,Gastropoda,,Nassariidae,Tritia,T.obsoleta,eastern mud snail
